bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
10,0,17,0,1,0.06984302957695782,0.14907119849998599,0.46852128566581813,127.0,36.0,113.0,39.0,Normal,Severely obese
7,0,13,0,1,0.06142951168339512,0.3333333333333333,0.18428853505018536,93.0,8.0,96.0,24.0,Underweight,Obese
8,1,10,1,1,0.06089914861893711,0.06698906348083082,0.9090909090909091,-11.0,-10.0,0.0,1.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,0,14,0,1,0.058637261152331706,0.08537714095908289,0.686802819743445,124.0,28.0,113.0,40.0,Underweight,Severely obese
5,0,17,0,1,0.04343722427630694,0.08333333333333333,0.5212466913156834,9.0,1.0,32.0,2.0,Severely obese,Normal
11,0,6,1,1,0.04185142977437178,0.08108649612461213,0.5161331636534808,142.0,11.0,140.0,-11.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
8,1,6,1,1,0.03327450168555286,0.062190503595885495,0.5350415218016388,-13.0,-24.0,1.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
9,0,14,0,1,0.02969931640233672,0.08862732049359294,0.3351033996845673,97.0,16.0,100.0,48.0,Underweight,Severely obese
7,0,12,0,1,0.028616784155976877,0.20833333333333331,0.137360563948689,94.0,21.0,90.0,7.0,Overweight,Underweight
11,0,7,1,1,0.01922693658003551,0.03090349343902322,0.6221606181182351,156.0,-11.0,129.0,31.0,"DomainError(""Height or Weight cannot be negative."", """")",Normal
5,0,19,0,1,0.01683493318986885,0.045,0.37410962644153,0.0,0.0,53.0,7.0,Severely obese,Overweight
14,0,16,0,1,0.013687077150699011,0.03434014098717226,0.3985737028805971,731.0,1462.0,804.0,1465.0,Obese,Normal
10,0,7,1,1,0.013596860809452115,0.04794011226613654,0.28362179742028953,154.0,54.0,197.0,-2.0,Normal,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,7,1,1,0.012195947003220303,0.04656684000697593,0.26190196718079417,-20.0,-31.0,50.0,5.0,"DomainError(""Height or Weight cannot be negative."", """")",Normal
10,0,10,1,1,0.010947299223528089,0.0861244019138756,0.12711030765096504,-20.0,-45.0,13.0,35.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
14,0,11,0,1,0.010129991437628357,1.0,0.010129991437628357,964.0,1479.0,868.0,1456.0,Underweight,Normal
11,0,10,1,1,0.009405738028291628,0.07840476839390854,0.1199638519565142,176.0,-14.0,127.0,74.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
16,0,18,0,1,0.009275176856120821,1.0,0.009275176856120821,1009.0,2803.0,1091.0,2873.0,Obese,Overweight
8,2,10,1,1,0.008822755631344506,0.009473210561839146,0.9313374355770301,12.0,-102.0,3.0,5.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,2,10,1,1,0.008758424150924671,0.009473684210526316,0.9245003270420485,9.0,-103.0,3.0,5.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
6,1,14,0,1,0.00837288361472027,0.01048951048951049,0.7982149046033324,114.0,1.0,0.0,0.0,Underweight,Severely obese
9,1,6,1,1,0.007890144225009764,0.009245283018867925,0.853423763113301,13.0,-112.0,44.0,1.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
9,1,10,1,1,0.0076311396984193565,0.009473684210526316,0.8055091903887098,6.0,22.0,12.0,-102.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,2,6,1,1,0.007395279879844099,0.009243434516796292,0.8000575831857843,14.0,0.0,-111.0,2.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
7,2,6,1,1,0.00727952474633667,0.009245283018867925,0.787377166440497,0.0,-127.0,1.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
14,0,17,0,1,0.006746907251875056,0.010854187376325186,0.6215948755953117,656.0,1457.0,804.0,1465.0,Severely obese,Normal
14,0,19,0,1,0.006614607955536354,0.015254237288135594,0.43362429930738317,672.0,1451.0,804.0,1484.0,Severely obese,Overweight
11,1,10,1,1,0.006129940814226708,0.09074143754726698,0.06755393103656351,1.0,383.0,-133.0,460.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,3,10,1,1,0.00601943737993201,0.006566293101332696,0.9167177412032224,3.0,5.0,-100.0,-114.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,2,6,1,1,0.005333057850706946,0.009168136839588425,0.5816948354957535,127.0,0.0,0.0,-118.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
15,0,18,0,1,0.005309169074675872,1.0,0.005309169074675872,1091.0,2903.0,972.0,2757.0,Overweight,Obese
14,0,13,0,1,0.004525859966808991,0.007141035682380541,0.6337820125974005,749.0,1456.0,967.0,1492.0,Obese,Underweight
12,0,14,0,1,0.003942753615421461,0.02293626354085561,0.1719004321867145,400.0,138.0,158.0,131.0,Underweight,Severely obese
14,0,14,0,1,0.003426176995102561,0.005168698742385569,0.6628703211132089,691.0,1454.0,967.0,1492.0,Severely obese,Underweight
13,0,6,1,1,0.0033243082013135546,0.04484620991237855,0.07412684835148067,242.0,-111.0,353.0,144.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
12,0,10,1,1,0.003209961729209762,0.028460925858605195,0.11278486670310572,112.0,657.0,-48.0,905.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,1,14,0,1,0.003198170657864963,0.007217954250310398,0.44308547089051314,7.0,189.0,238.0,0.0,Severely obese,Underweight
12,1,10,1,1,0.003024144336224729,0.0861244019138756,0.03511367590394268,-103.0,-256.0,13.0,35.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
11,1,6,1,1,0.0027206486770459566,0.08108649612461213,0.03355242620010263,182.0,4.0,-12.0,-275.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
14,1,6,1,1,0.0026860165520939667,0.007834985609210105,0.3428234187101157,1502.0,-146.0,1777.0,61.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
16,0,16,0,1,0.0022766819737111135,0.016664352333993333,0.1366198894551064,1012.0,2823.0,1280.0,3171.0,Obese,Normal
12,0,6,1,1,0.0022062601363681874,0.03342639129910111,0.06600353943763942,549.0,64.0,925.0,-121.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
15,0,16,0,1,0.002043115167069027,0.018617745583356375,0.10974020232049479,974.0,2757.0,1280.0,3139.0,Obese,Normal
12,2,10,1,1,0.001959364463081391,0.09426668117778846,0.020785334103212972,-190.0,-335.0,6.0,107.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
8,1,20,0,1,0.0016918416491172098,0.0038067534730761225,0.444431629492961,2.0,2.0,346.0,314.0,Severely obese,Obese
13,0,10,1,1,0.0014569313515675067,0.04730932131526633,0.03079586244449816,184.0,-119.0,166.0,531.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
15,0,17,0,1,0.0013684795687043192,0.005148009411517041,0.26582693606635205,807.0,2582.0,1280.0,3139.0,Severely obese,Normal
9,2,10,1,1,0.0012874301745114073,0.009426668117778845,0.13657319409424137,0.0,254.0,-691.0,1.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
15,0,14,0,1,0.001239584750433695,0.003296537567739308,0.37602627755999596,807.0,3714.0,1566.0,3844.0,Severely obese,Underweight
10,1,14,0,1,0.0012236535427694423,0.010488877198811117,0.11666201439636835,925.0,0.0,156.0,131.0,Underweight,Severely obese
12,2,6,1,1,0.0011200686494197648,0.09245283018867925,0.012115028248826027,818.0,-175.0,1624.0,3.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
8,2,14,0,1,0.0009484583387971565,0.0009963934598196827,0.9518913732821961,7.0,1.0,1013.0,30.0,Severely obese,Underweight
11,2,10,1,1,0.0008785279069224816,0.9473684210526316,0.0009273350128626194,6.0,43.0,-491.0,-914.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,3,6,1,1,0.000729117597982059,0.006377877598144327,0.11431978534586476,-1166.0,0.0,102.0,5.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
11,2,6,1,1,0.000720127604047289,0.9245283018867925,0.0007789135309082922,1239.0,11.0,1.0,-329.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,12,0,1,0.0007107900283527215,0.025595629868081296,0.027769976047321388,874.0,29.0,406.0,382.0,Underweight,Overweight
14,0,6,1,1,0.0007014876850397069,0.007765855706324661,0.09032973461873647,662.0,641.0,1693.0,-180.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
9,3,10,1,1,0.0006662223535845725,0.0009473679473687764,0.7032350581787585,1.0,-1411.0,0.0,11.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
11,2,9,1,1,0.0006259160119592819,0.005573762693388087,0.11229685338089096,-5.0,-1541.0,87.0,22.0,"DomainError(""Height or Weight cannot be negative."", """")",Obese
11,1,14,0,1,0.0006231674361844895,0.0013763347517384002,0.45277316103323595,245.0,232.0,1760.0,6.0,Severely obese,Underweight
9,2,14,0,1,0.0006114564808828881,0.0009569985146894596,0.6389314836933704,3.0,1558.0,197.0,9.0,Severely obese,Underweight
13,2,14,0,1,0.0006063662342222712,0.000952753580945818,0.6364355341706709,1.0,4014.0,1566.0,3844.0,Severely obese,Underweight
8,4,10,1,1,0.0005891593519007049,0.0009473684210526316,0.6218904270062996,0.0,1.0,1.0,-1607.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
7,2,14,0,1,0.0005877732917886041,0.0009632143840014678,0.6102206336940545,0.0,0.0,1624.0,3.0,Severely obese,Underweight
10,1,11,0,1,0.0005699597353343316,0.010745856927604472,0.05303995197164702,967.0,1492.0,39.0,3.0,Underweight,Normal
