a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
4534,false,DivideError(),error,DivideError,9.0,4534,true,4534,valid,Int64,2
4391,false,DivideError(),error,DivideError,9.0,4391,true,4391,valid,Int64,2
4156,false,DivideError(),error,DivideError,9.0,4156,true,4156,valid,Int64,2
4037,false,DivideError(),error,DivideError,9.0,4037,true,4037,valid,UInt16,2
4001,false,DivideError(),error,DivideError,9.0,4001,true,4001,valid,UInt16,2
3986,false,DivideError(),error,DivideError,9.0,3986,true,3986,valid,Int64,2
3860,false,DivideError(),error,DivideError,9.0,3860,true,3860,valid,UInt16,2
3787,false,DivideError(),error,DivideError,9.0,3787,true,3787,valid,UInt16,2
2432,false,DivideError(),error,DivideError,9.0,2432,true,2432,valid,UInt16,4
2430,false,DivideError(),error,DivideError,9.0,2430,true,2430,valid,UInt16,2
2364,false,DivideError(),error,DivideError,9.0,2364,true,2364,valid,Int64,2
2345,false,DivideError(),error,DivideError,9.0,2345,true,2345,valid,Int64,2
2235,false,DivideError(),error,DivideError,9.0,2235,true,2235,valid,Int64,2
2076,false,DivideError(),error,DivideError,9.0,2076,true,2076,valid,UInt16,2
1585,false,DivideError(),error,DivideError,9.0,1585,true,1585,valid,Int64,2
803,false,DivideError(),error,DivideError,10.0,803,true,803,valid,Int64,2
701,false,DivideError(),error,DivideError,10.0,701,true,701,valid,Int64,2
679,false,DivideError(),error,DivideError,10.0,679,true,679,valid,UInt16,2
675,false,DivideError(),error,DivideError,10.0,675,true,675,valid,Int64,2
673,false,DivideError(),error,DivideError,10.0,673,true,673,valid,Int64,2
586,false,DivideError(),error,DivideError,10.0,586,true,586,valid,UInt16,3
255,false,DivideError(),error,DivideError,10.0,255,true,255,valid,UInt8,80
254,false,DivideError(),error,DivideError,10.0,254,true,254,valid,UInt8,31
253,false,DivideError(),error,DivideError,10.0,253,true,253,valid,UInt8,43
252,false,DivideError(),error,DivideError,10.0,252,true,252,valid,UInt8,67
251,false,DivideError(),error,DivideError,10.0,251,true,251,valid,UInt8,72
250,false,DivideError(),error,DivideError,10.0,250,true,250,valid,UInt8,65
249,false,DivideError(),error,DivideError,10.0,249,true,249,valid,UInt8,35
248,false,DivideError(),error,DivideError,10.0,248,true,248,valid,UInt8,90
247,false,DivideError(),error,DivideError,10.0,247,true,247,valid,UInt8,25
246,false,DivideError(),error,DivideError,10.0,246,true,246,valid,UInt8,85
245,false,DivideError(),error,DivideError,10.0,245,true,245,valid,UInt8,49
244,false,DivideError(),error,DivideError,10.0,244,true,244,valid,UInt8,90
243,false,DivideError(),error,DivideError,10.0,243,true,243,valid,UInt8,77
242,false,DivideError(),error,DivideError,10.0,242,true,242,valid,UInt8,74
241,false,DivideError(),error,DivideError,10.0,241,true,241,valid,UInt8,77
240,false,DivideError(),error,DivideError,10.0,240,true,240,valid,UInt8,44
239,false,DivideError(),error,DivideError,10.0,239,true,239,valid,UInt8,81
238,false,DivideError(),error,DivideError,10.0,238,true,238,valid,UInt8,66
237,false,DivideError(),error,DivideError,10.0,237,true,237,valid,UInt8,53
236,false,DivideError(),error,DivideError,10.0,236,true,236,valid,UInt8,73
235,false,DivideError(),error,DivideError,10.0,235,true,235,valid,UInt8,73
234,false,DivideError(),error,DivideError,10.0,234,true,234,valid,UInt8,88
233,false,DivideError(),error,DivideError,10.0,233,true,233,valid,UInt8,71
232,false,DivideError(),error,DivideError,10.0,232,true,232,valid,UInt8,42
231,false,DivideError(),error,DivideError,10.0,231,true,231,valid,UInt8,37
230,false,DivideError(),error,DivideError,10.0,230,true,230,valid,UInt8,92
229,false,DivideError(),error,DivideError,10.0,229,true,229,valid,UInt8,34
228,false,DivideError(),error,DivideError,10.0,228,true,228,valid,UInt8,73
227,false,DivideError(),error,DivideError,10.0,227,true,227,valid,UInt8,36
225,false,DivideError(),error,DivideError,10.0,225,true,225,valid,UInt8,40
224,false,DivideError(),error,DivideError,10.0,224,true,224,valid,UInt8,88
223,false,DivideError(),error,DivideError,10.0,223,true,223,valid,UInt8,70
222,false,DivideError(),error,DivideError,10.0,222,true,222,valid,UInt8,44
221,false,DivideError(),error,DivideError,10.0,221,true,221,valid,UInt8,88
220,false,DivideError(),error,DivideError,10.0,220,true,220,valid,UInt8,57
219,false,DivideError(),error,DivideError,10.0,219,true,219,valid,UInt8,88
218,false,DivideError(),error,DivideError,10.0,218,true,218,valid,UInt8,100
217,false,DivideError(),error,DivideError,10.0,217,true,217,valid,UInt8,48
216,false,DivideError(),error,DivideError,10.0,216,true,216,valid,UInt8,79
215,false,DivideError(),error,DivideError,10.0,215,true,215,valid,UInt8,75
214,false,DivideError(),error,DivideError,10.0,214,true,214,valid,UInt8,73
212,false,DivideError(),error,DivideError,10.0,212,true,212,valid,UInt8,72
211,false,DivideError(),error,DivideError,10.0,211,true,211,valid,UInt8,80
210,false,DivideError(),error,DivideError,10.0,210,true,210,valid,UInt8,41
209,false,DivideError(),error,DivideError,10.0,209,true,209,valid,UInt8,80
208,false,DivideError(),error,DivideError,10.0,208,true,208,valid,UInt8,43
207,false,DivideError(),error,DivideError,10.0,207,true,207,valid,UInt8,81
