bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
41,4,18,1,1,5.5442445117622405,0.0,23691880,9.638612090455773e-22,1.0097534007132228e-21,0.9545510897658475,3188996580520027705,1040682767068708441179,3.2 EB,"BoundsError(""kMGTPE"", 7)"
37,24,16,1,1,5.547401821995674,0.0,29708947,9.61891864454279e-22,9.999449176062885e-22,0.9619448506792728,366026514667586,1039618265869488439714,366.0 TB,"BoundsError(""kMGTPE"", 7)"
26,200,20,0,1,4.129901755144716,0.0,8733750,9.556521544207423e-22,9.999886892780488e-22,0.9556629636588033,502,-1046405844819278040016,502B,-1046405844819278040016B
42,8,18,0,1,5.130303510127594,0.0,13568668,9.534746496752078e-22,9.988863405847162e-22,0.9545376795492809,-1047643612809082680759,1151969056298489703,-1047643612809082680759B,1.2 EB
38,18,7,1,1,5.542421055757189,0.0,21443760,9.510374898793046e-22,9.999268481915599e-22,0.9511070650811354,1051483035442191712240,-224304917852578,"BoundsError(""kMGTPE"", 7)",-224304917852578B
39,12,17,1,1,4.130185789108677,0.0,12349787,9.491086321771193e-22,1.0000115971540501e-21,0.9490976253457496,1053707499024725338263,87327320941367036,"BoundsError(""kMGTPE"", 7)",87.3 PB
35,40,18,1,1,5.148940647680342,0.0,18054736,9.483791327401054e-22,9.99996586831236e-22,0.948382369729186,1012237481581,1054430624249116298012,1.0 TB,"BoundsError(""kMGTPE"", 7)"
33,60,17,1,1,4.130151283345749,0.0,11464108,9.482027614760667e-22,9.999266552576027e-22,0.9482723122645322,18955867612,1054626753523976799619,19.0 GB,"BoundsError(""kMGTPE"", 7)"
37,40,17,0,1,4.130029931075883,0.0,9474526,9.464313554327268e-22,9.999627703046358e-22,0.9464665920956229,-1056600598297325401389,67202372232280,-1056600598297325401389B,67.2 TB
28,162,18,0,1,4.1301392736299105,0.0,9805105,9.34260797975425e-22,9.998775678528981e-22,0.9343751955368133,-1027550339348876504821,-3601,-1027550339348876504821B,-3601B
28,128,16,1,1,5.543962109336807,0.0,22526002,9.315318857947237e-22,9.999784166889974e-22,0.9315519917710772,1073500558863708628743,316382,"BoundsError(""kMGTPE"", 7)",316.4 kB
31,112,17,0,1,4.129800846951247,0.0,8116096,9.295059033067482e-22,9.999883635573518e-22,0.9295167195747461,-1075840396970511108186,37144669,-1075840396970511108186B,37.1 MB
29,144,17,0,1,5.547390642097971,0.0,28527962,9.257407727187249e-22,9.999559660055611e-22,0.9257815385778462,-1038669236437113694419,-48499,-1038669236437113694419B,-48499B
27,180,19,0,1,5.544256260312876,0.0,25932134,9.254864877924501e-22,9.999390040127926e-22,0.9255429421979123,-379,-1080512804012175090843,-379B,-1080512804012175090843B
41,12,16,0,1,3.1008102014288785,0.0,4745929,9.234649650417758e-22,9.998095549527699e-22,0.923640867870481,340883177933267618,-1043863012789134437680,340.9 PB,-1043863012789134437680B
32,72,18,1,1,3.0909091015589976,0.0,4074950,9.23302557343778e-22,9.999974763899709e-22,0.9233048874052519,1497920099,1083068591165016899104,1.5 GB,"BoundsError(""kMGTPE"", 7)"
35,60,11,0,1,5.544244613321736,0.0,24015238,9.037748875327287e-22,9.996743006228755e-22,0.9040693423544109,-12824925954,-1035085045937897738946,-12824925954B,-1035085045937897738946B
34,72,12,0,1,5.544256260391393,0.0,26206713,9.027839791130093e-22,9.99051815789199e-22,0.9036407970490068,-1074118495827863123679,-5969056227,-1074118495827863123679B,-5969056227B
33,84,18,0,1,5.542298250666011,0.0,20503113,8.96331382509298e-22,9.999825155518787e-22,0.8963470546428736,3438349378,-1115658806006989922482,3.4 GB,-1115658806006989922482B
29,144,16,0,1,4.1301401812732985,0.0,10717327,8.864964982086409e-22,9.998736499550572e-22,0.8866085212351456,101760,-1087749039318557106091,101.8 kB,-1087749039318557106091B
33,60,12,1,1,5.542298250930222,0.0,20653420,8.817760988057124e-22,9.999946488324097e-22,0.8817808173626439,-2482658901,1134074740007380909561,-2482658901B,"BoundsError(""kMGTPE"", 7)"
32,98,16,0,1,5.544244511869522,0.0,23818453,8.784240561018693e-22,9.99999682151754e-22,0.8784243353075034,512250976,-1138402338885379772823,512.3 MB,-1138402338885379772823B
