bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
18,0,0,0,1,1.1563105351149323e-7,0.8,1.4453881688936653e-7,1.46775912e8,1.40486315e8,146.8 MB,140.5 MB
12,8,2,0,1,1.0567809459013755e-7,9.126959196864099e-7,0.11578675034117293,9970.0,-9.452729e6,10.0 kB,-9452729B
8,18,5,0,1,1.0049717964715038e-7,1.0050249236130806e-7,0.9999471384835056,1.0,9.950529e6,1B,10.0 MB
9,12,4,0,1,1.0040922784902148e-7,1.0050270447752613e-7,0.9990699093224346,-1.0,9.959243e6,-1B,10.0 MB
13,4,0,0,1,1.0011472145932024e-7,1.0099108612277446e-7,0.9913223562880705,1.0036192e7,47651.0,10.0 MB,47.7 kB
11,12,3,0,1,9.986290819962356e-8,1.0000861074138484e-7,0.9985431000322756,1.0014157e7,429.0,10.0 MB,429B
9,24,5,0,1,9.959257672786398e-8,9.9999970000009e-8,0.9959260660563699,2.0,1.0040911e7,2B,10.0 MB
10,32,8,0,1,9.818431670490292e-8,9.9999810000361e-8,0.9818450325510466,4.0,-1.0184922e7,4B,-10184922B
10,18,4,0,1,9.767992593517296e-8,1.0e-7,0.9767992593517297,1.0237536e7,18.0,10.2 MB,18B
12,8,1,0,1,9.587181707964091e-8,1.0009395819856099e-7,0.9578182220494825,1209.0,1.0431803e7,1.2 kB,10.4 MB
12,18,6,0,1,9.569349602886345e-8,9.9999850000225e-8,0.9569363956910749,-53.0,-1.0450084e7,-53B,-10450084B
11,24,7,0,1,9.522835473781063e-8,9.999958000176399e-8,0.9522875469690053,-1.0501076e7,-2.0,-10501076B,-2B
13,12,4,0,1,9.516456475106425e-8,9.998577202464089e-8,0.9517810666862833,-1.0500092e7,8021.0,-10500092B,8.0 kB
13,4,1,0,1,9.418112291964495e-8,8.354429338493715e-7,0.11273196421172388,-1368.0,1.0616471e7,-1368B,10.6 MB
15,4,2,0,1,9.309386859577023e-8,9.887766923976026e-8,0.9415054917004023,-1.020976e7,532086.0,-10209760B,532.1 kB
17,0,1,0,1,9.168044236620229e-8,1.0,9.168044236620229e-8,-9.205293e6,-1.9431029e7,-9205293B,-19431029B
14,2,0,0,1,9.103085709375249e-8,9.988360563435428e-8,0.9113693535152385,-27497.0,1.0957789e7,-27497B,11.0 MB
16,2,2,0,1,8.823473616269779e-8,1.1108752352694888e-7,0.7942812420450871,-1.1847422e7,-514017.0,-11847422B,-514017B
14,8,3,0,1,8.669362144744711e-8,9.987404883701165e-8,0.8680295077345448,-1.1520488e7,14386.0,-11520488B,14.4 kB
16,0,2,0,1,8.435096445627494e-8,8.99612833624793e-8,0.9376362953427554,1.0077075e7,-1.778154e6,10.1 MB,-1778154B
14,8,4,0,1,7.08820970411704e-8,1.000809254363078e-7,0.7082478177750291,-5630.0,-1.3028339e7,-5630B,-13028339B
15,4,3,0,1,6.414696784832586e-8,1.0099396237894107e-7,0.6351564622015621,-15226.0,-1.4490913e7,-15226B,-14490913B
13,12,5,0,1,5.461333594312261e-8,1.0000504025402881e-7,0.5461058343099108,-520.0,-1.8311066e7,-520B,-18311066B
16,2,4,0,1,4.947092331640801e-8,9.088005886119652e-8,0.544353997305022,3.275079e6,-1.6938815e7,3.3 MB,-16938815B
17,0,3,0,1,3.9926702559441374e-8,4.762575604697081e-8,0.838342650562098,-1.0503827e7,1.4542068e7,-10503827B,14.5 MB
12,8,0,0,1,2.597027141478715e-8,9.05554061894439e-8,0.28678874633345214,9962.0,3.8515528e7,10.0 kB,38.5 MB
20,0,0,0,1,1.1536892587628617e-8,0.7777777777777778,1.4833147612665365e-8,-1.01324306e8,-1.83440735e8,-101324306B,-183440735B
11,24,5,0,1,9.961399874328972e-9,1.0000002900000842e-8,0.9961396985523008,91.0,1.00387588e8,91B,100.4 MB
10,32,6,0,1,9.946144215072877e-9,9.999999200000064e-9,0.9946145010764413,1.00541474e8,0.0,100.5 MB,0B
13,12,2,0,1,9.918458763551442e-9,1.0000666644438517e-8,0.9917797599090264,8996.0,1.00831112e8,9.0 kB,100.8 MB
12,18,4,0,1,9.886641156627867e-9,1.0000039800158405e-8,0.9886601807796064,-37.0,1.01146549e8,-37B,101.1 MB
16,8,3,0,1,9.878029841172542e-9,9.987232521688924e-9,0.9890657716960899,-1.00755158e8,479604.0,-100755158B,479.6 kB
14,8,1,0,1,9.851915367515113e-9,1.0008317211852566e-8,0.9843728130287246,26167.0,1.01529272e8,26.2 kB,101.5 MB
