A,i,output,outputtype,datatype,metric,n_A,n_i,n_output,n_outputtype,n_datatype,count
-7942569464569561080,false,"BoundsError(-7942569464569561080, 0)",error,BoundsError,10.0,-7942569464569561080,true,"TypeError(:<:, """", Type, -7942569464569561080)",error,TypeError,1
216,-10000,"BoundsError(0xd8, -10000)",error,BoundsError,1.0,216,-9999,"BoundsError(0xd8, -9999)",error,BoundsError,1
-148460096798832212286432866671610679552,false,"BoundsError(-148460096798832212286432866671610679552, 0)",error,BoundsError,10.0,-148460096798832212286432866671610679552,true,"TypeError(:<:, """", Type, -148460096798832212286432866671610679552)",error,TypeError,1
1270877219,false,"BoundsError(0x4bc00c23, 0)",error,BoundsError,10.0,1270877219,true,"TypeError(:<:, """", Type, 0x4bc00c23)",error,TypeError,1
-133493537538732445790022723064529868298,false,"BoundsError(-133493537538732445790022723064529868298, 0)",error,BoundsError,10.0,-133493537538732445790022723064529868298,true,"TypeError(:<:, """", Type, -133493537538732445790022723064529868298)",error,TypeError,1
-6667468386549278215,-1000000000,"BoundsError(-6667468386549278215, -1000000000)",error,BoundsError,1.0,-6667468386549278215,-999999999,"BoundsError(-6667468386549278215, -999999999)",error,BoundsError,1
false,-32486,"BoundsError(false, -32486)",error,BoundsError,1.0,true,-32486,"BoundsError(true, -32486)",error,BoundsError,1
false,-116,"BoundsError(false, -116)",error,BoundsError,1.0,true,-116,"BoundsError(true, -116)",error,BoundsError,1
282051584887603709155619476656081458092,-1000,"BoundsError(0xd43128c92ce051cd2d4fd6468e0dd3ac, -1000)",error,BoundsError,1.0,282051584887603709155619476656081458092,-999,"BoundsError(0xd43128c92ce051cd2d4fd6468e0dd3ac, -999)",error,BoundsError,1
false,-76,"BoundsError(false, -76)",error,BoundsError,1.0,true,-76,"BoundsError(true, -76)",error,BoundsError,1
99,-701379178,"BoundsError(99, -701379178)",error,BoundsError,1.0,100,-701379178,"BoundsError(100, -701379178)",error,BoundsError,1
7469773862346868759,false,"BoundsError(0x67a9f7c051aec817, 0)",error,BoundsError,10.0,7469773862346868759,true,"TypeError(:<:, """", Type, 0x67a9f7c051aec817)",error,TypeError,1
46300,-10,"BoundsError(0xb4dc, -10)",error,BoundsError,1.0,46300,-9,"BoundsError(0xb4dc, -9)",error,BoundsError,1
-148450362870240677654701845146519516169,-1000,"BoundsError(-148450362870240677654701845146519516169, -1000)",error,BoundsError,1.0,-148450362870240677654701845146519516169,-999,"BoundsError(-148450362870240677654701845146519516169, -999)",error,BoundsError,1
4436254181246359531,-10,"BoundsError(0x3d90bdac6e87d7eb, -10)",error,BoundsError,1.0,4436254181246359531,-9,"BoundsError(0x3d90bdac6e87d7eb, -9)",error,BoundsError,1
9,-123,"BoundsError(9, -123)",error,BoundsError,1.0,10,-123,"BoundsError(10, -123)",error,BoundsError,1
false,-126,"BoundsError(false, -126)",error,BoundsError,1.0,true,-126,"BoundsError(true, -126)",error,BoundsError,1
-10000,-1754313110,"BoundsError(-10000, -1754313110)",error,BoundsError,1.0,-9999,-1754313110,"BoundsError(-9999, -1754313110)",error,BoundsError,1
false,-88292845100196710438581835176513549562,"BoundsError(false, -88292845100196710438581835176513549562)",error,BoundsError,1.0,true,-88292845100196710438581835176513549562,"BoundsError(true, -88292845100196710438581835176513549562)",error,BoundsError,1
