bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
9,0,10,1,1,6.90647664065509,0.0,32331709,0.011553273427471117,0.9473684210526316,0.012195121951219511,-68,95,12,77,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,6,1,1,6.545313306371683,0.0,32331709,0.011552994026886325,0.9245283018867925,0.012496095580101535,-4,11,76,9,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
8,0,10,1,1,7.930862813690612,0.0,32331709,0.01153955219528122,0.6698906348083082,0.01722602406373886,41,29,-5,97,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,20,0,1,6.594255851646553,0.0,32331709,0.011329013942880708,0.7857142857142857,0.01441874501821181,0,21,69,14,Severely obese,Obese
9,0,10,1,1,5.531477247289114,0.0,32331709,0.011200681199129793,0.9473684210526316,0.011822941265748114,22,5,-55,-30,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,14,0,1,7.3984445842597815,0.0,32331709,0.011078415061699117,0.2315112784437724,0.04785259334304853,54,80,22,0,Severely obese,Underweight
8,0,10,1,1,6.016251851228555,0.0,32331709,0.01106313117047825,0.6698906348083082,0.016514831818247477,18,-8,76,55,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
9,0,10,1,1,5.672658731173852,0.0,32331709,0.011033080507420249,0.9473684210526316,0.011646029424499152,-57,-3,26,19,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
9,0,6,1,1,6.66458102323994,0.0,32331709,0.010865530302542998,0.9245283018867925,0.011752512368056712,114,-41,40,1,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
10,0,10,1,1,6.761346154813022,0.0,32331709,0.010578685843031527,0.0861244019138756,0.12283029673297717,106,34,70,-48,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
