a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
23,0,DivideError(),error,DivideError,11.0,23,1,23,valid,UInt64,2
23,false,DivideError(),error,DivideError,11.0,23,true,23,valid,UInt8,4
22,false,DivideError(),error,DivideError,11.0,22,true,22,valid,UInt8,2
22,false,DivideError(),error,DivideError,11.0,22,true,22,valid,Int64,3
21,false,DivideError(),error,DivideError,11.0,21,true,21,valid,UInt8,6
21,0,DivideError(),error,DivideError,11.0,21,1,21,valid,UInt64,2
21,false,DivideError(),error,DivideError,11.0,21,true,21,valid,Int64,2
20,false,DivideError(),error,DivideError,11.0,20,true,20,valid,Int64,2
20,false,DivideError(),error,DivideError,11.0,20,true,20,valid,UInt8,5
19,0,DivideError(),error,DivideError,11.0,19,1,19,valid,Int64,3
19,0,DivideError(),error,DivideError,11.0,19,1,19,valid,UInt64,2
19,false,DivideError(),error,DivideError,11.0,19,true,19,valid,UInt8,2
18,false,DivideError(),error,DivideError,11.0,18,true,18,valid,UInt8,2
18,0,DivideError(),error,DivideError,11.0,18,1,18,valid,Int64,7
17,false,DivideError(),error,DivideError,11.0,17,true,17,valid,Int64,5
17,false,DivideError(),error,DivideError,11.0,17,true,17,valid,UInt8,2
16,0,DivideError(),error,DivideError,11.0,16,1,16,valid,UInt64,2
16,false,DivideError(),error,DivideError,11.0,16,true,16,valid,Int64,6
15,false,DivideError(),error,DivideError,11.0,15,true,15,valid,UInt8,2
15,false,DivideError(),error,DivideError,11.0,15,true,15,valid,Int64,4
14,0,DivideError(),error,DivideError,11.0,14,1,14,valid,UInt64,2
14,false,DivideError(),error,DivideError,11.0,14,true,14,valid,Int64,5
14,false,DivideError(),error,DivideError,11.0,14,true,14,valid,UInt8,3
13,false,DivideError(),error,DivideError,11.0,13,true,13,valid,UInt8,5
13,0,DivideError(),error,DivideError,11.0,13,1,13,valid,Int64,5
12,0,DivideError(),error,DivideError,11.0,12,1,12,valid,UInt64,3
12,0,DivideError(),error,DivideError,11.0,12,1,12,valid,Int64,5
12,false,DivideError(),error,DivideError,11.0,12,true,12,valid,UInt8,4
11,false,DivideError(),error,DivideError,11.0,11,true,11,valid,Int64,4
11,0,DivideError(),error,DivideError,11.0,11,1,11,valid,UInt64,2
10,0,DivideError(),error,DivideError,11.0,10,1,10,valid,Int64,4
9,false,DivideError(),error,DivideError,12.0,9,true,9,valid,Int64,3
8,0,DivideError(),error,DivideError,12.0,8,1,8,valid,Int64,8
8,false,DivideError(),error,DivideError,12.0,8,true,8,valid,UInt8,4
8,0,DivideError(),error,DivideError,12.0,8,1,8,valid,UInt64,3
7,0,DivideError(),error,DivideError,12.0,7,1,7,valid,Int64,5
7,false,DivideError(),error,DivideError,12.0,7,true,7,valid,UInt8,3
7,0,DivideError(),error,DivideError,12.0,7,1,7,valid,UInt64,3
6,0,DivideError(),error,DivideError,12.0,6,1,6,valid,UInt64,3
6,false,DivideError(),error,DivideError,12.0,6,true,6,valid,Int64,8
6,false,DivideError(),error,DivideError,12.0,6,true,6,valid,UInt8,4
5,0,DivideError(),error,DivideError,12.0,5,1,5,valid,Int64,4
5,0,DivideError(),error,DivideError,12.0,5,1,5,valid,UInt64,3
4,false,DivideError(),error,DivideError,12.0,4,true,4,valid,UInt8,6
4,0,DivideError(),error,DivideError,12.0,4,1,4,valid,UInt64,3
3,false,DivideError(),error,DivideError,12.0,3,true,3,valid,Int64,5
3,false,DivideError(),error,DivideError,12.0,3,true,3,valid,UInt8,7
3,0,DivideError(),error,DivideError,12.0,3,1,3,valid,UInt64,3
