x_,p,output,outputtype,datatype,metric,n_x_,n_p,n_output,n_outputtype,n_datatype,count
4162825821337436745,-1000,"DomainError(-1000, ""Cannot raise an integer x to a negative power -1000.\nMake x or -1000 a float by adding a zero decimal (e.g., 2.0^-1000 or 2^-1000.0 instead of 2^-1000)or write 1/x^1000, float(x)^-1000, x^float(-1000) or (x//1)^-1000."")",error,DomainError,10.0,4162825821337436745,-999,"DomainError(-999, ""Cannot raise an integer x to a negative power -999.\nMake x or -999 a float by adding a zero decimal (e.g., 2.0^-999 or 2^-999.0 instead of 2^-999)or write 1/x^999, float(x)^-999, x^float(-999) or (x//1)^-999."")",error,DomainError,1
4162243073652490588,-100,"DomainError(-100, ""Cannot raise an integer x to a negative power -100.\nMake x or -100 a float by adding a zero decimal (e.g., 2.0^-100 or 2^-100.0 instead of 2^-100)or write 1/x^100, float(x)^-100, x^float(-100) or (x//1)^-100."")",error,DomainError,10.0,4162243073652490588,-99,"DomainError(-99, ""Cannot raise an integer x to a negative power -99.\nMake x or -99 a float by adding a zero decimal (e.g., 2.0^-99 or 2^-99.0 instead of 2^-99)or write 1/x^99, float(x)^-99, x^float(-99) or (x//1)^-99."")",error,DomainError,1
4076998440054064998,-2624380255522966785,"DomainError(-2624380255522966785, ""Cannot raise an integer x to a negative power -2624380255522966785.\nMake x or -2624380255522966785 a float by adding a zero decimal (e.g., 2.0^-2624380255522966785 or 2^-2.624380255522967e18 instead of 2^-2624380255522966785)or write 1/x^2624380255522966785, float(x)^-2624380255522966785, x^float(-2624380255522966785) or (x//1)^-2624380255522966785."")",error,DomainError,1.0,4076998440054064998,-2624380255522966784,"DomainError(-2624380255522966784, ""Cannot raise an integer x to a negative power -2624380255522966784.\nMake x or -2624380255522966784 a float by adding a zero decimal (e.g., 2.0^-2624380255522966784 or 2^-2.6243802555229665e18 instead of 2^-2624380255522966784)or write 1/x^2624380255522966784, float(x)^-2624380255522966784, x^float(-2624380255522966784) or (x//1)^-2624380255522966784."")",error,DomainError,1
4033667647547099088,-8448186713593460224,"DomainError(-8448186713593460224, ""Cannot raise an integer x to a negative power -8448186713593460224.\nMake x or -8448186713593460224 a float by adding a zero decimal (e.g., 2.0^-8448186713593460224 or 2^-8.448186713593461e18 instead of 2^-8448186713593460224)or write 1/x^8448186713593460224, float(x)^-8448186713593460224, x^float(-8448186713593460224) or (x//1)^-8448186713593460224."")",error,DomainError,1.0,4033667647547099088,-8448186713593460223,"DomainError(-8448186713593460223, ""Cannot raise an integer x to a negative power -8448186713593460223.\nMake x or -8448186713593460223 a float by adding a zero decimal (e.g., 2.0^-8448186713593460223 or 2^-8.44818671359346e18 instead of 2^-8448186713593460223)or write 1/x^8448186713593460223, float(x)^-8448186713593460223, x^float(-8448186713593460223) or (x//1)^-8448186713593460223."")",error,DomainError,1
4026164188402978905,-1153017090,"DomainError(-1153017090, ""Cannot raise an integer x to a negative power -1153017090.\nMake x or -1153017090 a float by adding a zero decimal (e.g., 2.0^-1153017090 or 2^-1.15301709e9 instead of 2^-1153017090)or write 1/x^1153017090, float(x)^-1153017090, x^float(-1153017090) or (x//1)^-1153017090."")",error,DomainError,1.0,4026164188402978905,-1153017089,"DomainError(-1153017089, ""Cannot raise an integer x to a negative power -1153017089.\nMake x or -1153017089 a float by adding a zero decimal (e.g., 2.0^-1153017089 or 2^-1.153017089e9 instead of 2^-1153017089)or write 1/x^1153017089, float(x)^-1153017089, x^float(-1153017089) or (x//1)^-1153017089."")",error,DomainError,1
3833866067630315692,-93541761,"DomainError(-93541761, ""Cannot raise an integer x to a negative power -93541761.\nMake x or -93541761 a float by adding a zero decimal (e.g., 2.0^-93541761 or 2^-9.3541761e7 instead of 2^-93541761)or write 1/x^93541761, float(x)^-93541761, x^float(-93541761) or (x//1)^-93541761."")",error,DomainError,1.0,3833866067630315692,-93541760,"DomainError(-93541760, ""Cannot raise an integer x to a negative power -93541760.\nMake x or -93541760 a float by adding a zero decimal (e.g., 2.0^-93541760 or 2^-9.354176e7 instead of 2^-93541760)or write 1/x^93541760, float(x)^-93541760, x^float(-93541760) or (x//1)^-93541760."")",error,DomainError,1
3666208151586296682,-4070409044966232832,"DomainError(-4070409044966232832, ""Cannot raise an integer x to a negative power -4070409044966232832.\nMake x or -4070409044966232832 a float by adding a zero decimal (e.g., 2.0^-4070409044966232832 or 2^-4.070409044966233e18 instead of 2^-4070409044966232832)or write 1/x^4070409044966232832, float(x)^-4070409044966232832, x^float(-4070409044966232832) or (x//1)^-4070409044966232832."")",error,DomainError,1.0,3666208151586296682,-4070409044966232831,"DomainError(-4070409044966232831, ""Cannot raise an integer x to a negative power -4070409044966232831.\nMake x or -4070409044966232831 a float by adding a zero decimal (e.g., 2.0^-4070409044966232831 or 2^-4.0704090449662326e18 instead of 2^-4070409044966232831)or write 1/x^4070409044966232831, float(x)^-4070409044966232831, x^float(-4070409044966232831) or (x//1)^-4070409044966232831."")",error,DomainError,1
3655764386227982405,-7320839947085849089,"DomainError(-7320839947085849089, ""Cannot raise an integer x to a negative power -7320839947085849089.\nMake x or -7320839947085849089 a float by adding a zero decimal (e.g., 2.0^-7320839947085849089 or 2^-7.32083994708585e18 instead of 2^-7320839947085849089)or write 1/x^7320839947085849089, float(x)^-7320839947085849089, x^float(-7320839947085849089) or (x//1)^-7320839947085849089."")",error,DomainError,1.0,3655764386227982405,-7320839947085849088,"DomainError(-7320839947085849088, ""Cannot raise an integer x to a negative power -7320839947085849088.\nMake x or -7320839947085849088 a float by adding a zero decimal (e.g., 2.0^-7320839947085849088 or 2^-7.320839947085849e18 instead of 2^-7320839947085849088)or write 1/x^7320839947085849088, float(x)^-7320839947085849088, x^float(-7320839947085849088) or (x//1)^-7320839947085849088."")",error,DomainError,1
3647142000398358165,-1000000001,"DomainError(-1000000001, ""Cannot raise an integer x to a negative power -1000000001.\nMake x or -1000000001 a float by adding a zero decimal (e.g., 2.0^-1000000001 or 2^-1.000000001e9 instead of 2^-1000000001)or write 1/x^1000000001, float(x)^-1000000001, x^float(-1000000001) or (x//1)^-1000000001."")",error,DomainError,8.0,3647142000398358165,-1000000000,"DomainError(-1000000000, ""Cannot raise an integer x to a negative power -1000000000.\nMake x or -1000000000 a float by adding a zero decimal (e.g., 2.0^-1000000000 or 2^-1.0e9 instead of 2^-1000000000)or write 1/x^1000000000, float(x)^-1000000000, x^float(-1000000000) or (x//1)^-1000000000."")",error,DomainError,1
3447143366782602002,-3463465967306973441,"DomainError(-3463465967306973441, ""Cannot raise an integer x to a negative power -3463465967306973441.\nMake x or -3463465967306973441 a float by adding a zero decimal (e.g., 2.0^-3463465967306973441 or 2^-3.4634659673069737e18 instead of 2^-3463465967306973441)or write 1/x^3463465967306973441, float(x)^-3463465967306973441, x^float(-3463465967306973441) or (x//1)^-3463465967306973441."")",error,DomainError,1.0,3447143366782602002,-3463465967306973440,"DomainError(-3463465967306973440, ""Cannot raise an integer x to a negative power -3463465967306973440.\nMake x or -3463465967306973440 a float by adding a zero decimal (e.g., 2.0^-3463465967306973440 or 2^-3.463465967306973e18 instead of 2^-3463465967306973440)or write 1/x^3463465967306973440, float(x)^-3463465967306973440, x^float(-3463465967306973440) or (x//1)^-3463465967306973440."")",error,DomainError,1
