bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
14,9,6,1,1,2.9565470552702777,-0.5,2764761,8.601611484982938e-7,9.787877278836126e-6,0.08788025472675065,0,0,-8902,1141009,"DomainError(""The point should not be at the origin (0, 0)"", """")",out
18,5,9,0,1,3.3964669458062673,0.5,16530201,8.569733655044858e-7,9.886450821950143e-6,0.086681598982095,1116553,338937,-34,-7,out,in
17,10,9,0,1,3.755778380078356,-0.5,28610839,8.44834113746014e-7,6.911655206765096e-6,0.12223325505576353,-641864,-994508,20,0,out,in
17,8,9,0,1,1.0792471718391854,-1.5,106969,7.740677074983067e-7,9.99945182871206e-7,0.7741101419936611,-25,8,-1291901,-1292,in,out
14,11,6,1,1,2.072770928426262,-1.0,568659,7.258635482934033e-7,9.813796407503531e-7,0.7396358332219072,0,0,-116,-1352157,"DomainError(""The point should not be at the origin (0, 0)"", """")",out
12,11,6,1,1,2.8146926905797383,-3.0,1293321,6.280910672134383e-7,9.814785369752044e-7,0.6399437619381239,0,0,12,-1562642,"DomainError(""The point should not be at the origin (0, 0)"", """")",out
16,12,6,1,1,3.508502634948026,-1.0,19964164,6.055327577845642e-7,6.529245192436695e-6,0.09274161712995513,-337289,1585374,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
20,8,9,0,1,3.7557158518010483,1.0,26139365,5.585682742842954e-7,9.813971448364171e-7,0.5691562047262728,-1344548,1182157,-30,34,out,in
19,10,9,0,1,2.8338624655016433,0.5,1700849,5.570376108955252e-7,9.937172301258845e-7,0.5605594770908415,41,56,-190981,-1784963,in,out
20,6,9,0,1,2.9691600355134735,-0.5,3401422,5.267659245027574e-7,9.91305862518631e-7,0.5313858662798507,-67761,-1897180,-37,-12,out,in
18,12,9,0,1,3.5130540344896626,0.0,24784657,4.490162046183567e-7,9.925205519788954e-7,0.45239990620154374,-888029,-2042377,20,0,out,in
16,7,9,0,1,2.867528140614394,0.0,2362417,3.131711648312444e-7,9.999389845162883e-7,0.3131902742873238,-3193189,-60,-47,29,out,in
21,6,9,0,1,2.833861908004111,-2.0,1657077,2.5958383487816706e-7,9.822708169752592e-7,0.2642691103025056,-123002,-3850369,-37,-12,out,in
17,14,9,0,1,3.5129962208238004,-0.5,21891958,2.1954768442993663e-7,9.897971312522616e-7,0.22181079081545882,-4165439,1842681,4,3,out,in
19,14,9,0,1,2.107989287399937,0.5,1171137,2.1691576528494003e-7,6.943702662686858e-7,0.31239207066076286,20,0,-1592470,-4326298,in,out
17,14,6,1,1,3.5130479245481223,0.0,23159033,2.0113336638642594e-7,9.751962367208743e-7,0.20624912075413943,1510883,-4639961,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
17,15,9,0,1,2.867621528278678,-3.0,2507654,9.861138249252821e-8,9.992740249806335e-8,0.9868302390271713,1,1,-10140799,-18656,in,out
20,13,9,0,1,3.5130535853806264,-0.5,24351789,9.761851703942933e-8,9.9961080071187e-8,0.9765652488939754,-561773,-10228545,-39,0,out,in
20,16,9,0,1,3.014013318678694,-3.0,8141478,9.600821836978823e-8,9.922787324401841e-8,0.9675529186611458,-10231251,-1951732,30,0,out,in
12,16,6,1,1,2.814255513812005,-1.5,1225809,9.336154825013603e-8,9.814247551304583e-8,0.9512858501080474,2,-10512695,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
13,14,9,0,1,2.8458318493254375,-3.0,1730965,9.06910037789094e-8,9.999903000907091e-8,0.9069188348195258,-11026419,0,33,3,out,in
15,12,9,0,1,2.956457894644276,-3.5,2666572,9.062073572799101e-8,9.999917000670845e-8,0.9062148788026112,-11034991,-1,11,-7,out,in
14,14,9,0,1,2.8665749585950113,-2.5,2226718,9.023545860091128e-8,9.999374039185097e-8,0.9024110734062015,-11082115,0,3,-12,out,in
18,13,9,0,1,3.3964670434852837,-0.5,16884002,8.82901546616467e-8,9.99591929302351e-8,0.8832619799488316,-11326172,-44946,30,0,out,in
18,17,6,1,1,3.0140132226704757,-2.0,7985762,8.691790922437396e-8,9.807300522081083e-8,0.8862572226544783,-285715,-11288436,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
21,10,9,0,1,3.2623349001544577,0.5,12795713,8.549592877760587e-8,6.830457533127374e-7,0.12516867041915558,-10056948,5972107,-30,34,out,in
13,10,6,1,1,2.8675282251616685,-3.0,2369699,8.45472661497886e-8,9.81416702255888e-7,0.08614818349376767,0,0,263,11608672,"DomainError(""The point should not be at the origin (0, 0)"", """")",out
15,14,6,1,1,2.8666326949219427,-2.5,2249053,8.11863269930932e-8,9.814280333585475e-8,0.8272264927593851,0,0,9874,-12089242,"DomainError(""The point should not be at the origin (0, 0)"", """")",out
14,13,9,0,1,2.099018929155127,-1.5,1034056,8.038412680370824e-8,9.999762005549073e-8,0.8038603994685217,-1,73,1,-12440194,in,out
