bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
10,1,10,1,1,0.004248118036347162,0.6698906348083082,0.006341509816095245,66,15.0,-152.0,62.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,1,6,1,1,0.004244842712200323,0.009245283018867925,0.45913604846248396,23,0.0,-188.0,54.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,14,0,1,0.004242256650410176,0.08862732049359294,0.04786624064434914,283,32.0,58.0,30.0,Underweight,Severely obese
12,0,14,0,1,0.00423057433843345,0.02293626354085561,0.1844491510527714,277,404.0,387.0,207.0,Severely obese,Underweight
11,0,10,1,1,0.004220374927905745,0.07840476839390854,0.05382803896189605,-72,-70.0,111.0,60.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
12,0,10,1,1,0.004130330014129364,0.028460925858605195,0.14512282680644256,-130,111.0,61.0,238.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
9,2,10,1,1,0.00411382493796611,0.009426668117778845,0.43640286117715027,1,6.0,189.0,-127.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,6,1,1,0.0040590109855712835,0.08108649612461213,0.05005779235217508,165,15.0,-53.0,-51.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,10,1,1,0.004035046483437205,0.07840476839390854,0.05146429950746079,-182,136.0,38.0,54.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
12,0,20,0,1,0.004011200855615049,0.7857142857142857,0.005105164725328244,157,201.0,332.0,289.0,Severely obese,Obese
11,0,10,1,1,0.003995343944673961,0.07840476839390854,0.050957920372919165,82,160.0,-30.0,-49.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
