bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
13,0,37,1,1,46.18390625966545,0.0,29924763,0.03522349768381734,0.0873053390247253,0.40345181723470397,28,9,94,15,-12,108,0094-09-28,"ArgumentError(""Month: -12 out of range (1:12)"")"
8,0,1,0,1,32.787955502584616,-18.5,7689943,0.029310519088027457,0.49497474683058323,0.05921619087783416,1,2,-5,2,3,12,0005-02-01,0012-03-02
15,0,37,1,1,41.50481261507074,-0.5,20344572,0.02074349534112556,0.03963000409090408,0.5234290486961274,-12,-19,215,20,1,245,"ArgumentError(""Month: -19 out of range (1:12)"")",0245-01-20
14,0,3,2,1,41.54234451621615,-2.0,22144911,0.018147368278004127,0.03416443246887492,0.5311772204773798,15,-11,251,33,1,245,"ArgumentError(""Month: -11 out of range (1:12)"")","ArgumentError(""Day: 33 out of range (1:31)"")"
12,1,1,2,1,43.86182464663464,0.0,29216044,0.01629940425625208,0.22205779584216373,0.07340163039282584,-110,-2,2,-88,4,6,"ArgumentError(""Month: -2 out of range (1:12)"")","ArgumentError(""Day: -88 out of range (1:30)"")"
12,0,37,1,1,38.86447567102141,0.5,16484185,0.013436443102610305,0.0873704056661038,0.15378712048058057,4,2,86,-3,-37,149,0086-02-04,"ArgumentError(""Month: -37 out of range (1:12)"")"
11,1,0,2,1,43.845525242378386,0.5,28617557,0.012916611980580167,0.2801743849984434,0.04610204455575741,-88,4,6,-118,0,1,"ArgumentError(""Day: -88 out of range (1:30)"")","ArgumentError(""Month: 0 out of range (1:12)"")"
13,0,3,2,1,42.094189797405626,-1.0,25063544,0.011834246710263658,0.27196414661021057,0.04351399571512253,15,-12,108,36,2,86,"ArgumentError(""Month: -12 out of range (1:12)"")","ArgumentError(""Day: 36 out of range (1:28)"")"
17,0,0,2,1,45.37173295121812,0.5,29539089,0.009908304583485097,0.29569919940528355,0.0335080534658629,-12,-28,135,-5,-34,144,"ArgumentError(""Month: -28 out of range (1:12)"")","ArgumentError(""Month: -34 out of range (1:12)"")"
15,0,0,2,1,42.08235555069537,-1.5,24016230,0.008830397411056269,0.14731391274719743,0.05994272534332819,12,-14,111,0,-21,115,"ArgumentError(""Month: -14 out of range (1:12)"")","ArgumentError(""Month: -21 out of range (1:12)"")"
10,0,34,1,1,43.476643419031504,-0.5,27692681,0.008338836464925005,1.0,0.008338836464925005,6,2,61,62,5,-45,0061-02-06,"ArgumentError(""Day: 62 out of range (1:31)"")"
11,1,35,1,1,0.019860780427611295,5.5,2304363,0.007926976326257565,0.010608325710812034,0.7472410390056529,4,12,17,-118,0,1,0017-12-04,"ArgumentError(""Month: 0 out of range (1:12)"")"
12,0,3,2,1,41.52419714793814,1.0,21836411,0.007208774909454891,0.3846153846153846,0.018742814764582717,0,-21,123,36,2,86,"ArgumentError(""Month: -21 out of range (1:12)"")","ArgumentError(""Day: 36 out of range (1:28)"")"
15,0,3,2,1,41.51488540344176,-2.5,20869710,0.006290927902139351,0.03031016335481128,0.20755176501352512,-14,-30,213,33,1,245,"ArgumentError(""Month: -30 out of range (1:12)"")","ArgumentError(""Day: 33 out of range (1:31)"")"
10,0,1,0,1,38.51769142493709,-2.0,14961778,0.006126725795351403,0.5329387100211931,0.011496117058390758,1,1,92,18,5,-45,0092-01-01,0045-05-18
12,1,0,2,1,43.83260863039781,-0.5,28581752,0.005353433486525588,0.22876142741475738,0.023401818860045453,-45,7,11,-118,0,1,"ArgumentError(""Day: -45 out of range (1:31)"")","ArgumentError(""Month: 0 out of range (1:12)"")"
16,1,38,1,1,33.96384903915915,2.5,9139875,0.005224333599499472,0.007747283842635368,0.6743438998257133,-94,-102,137,20,1,245,"ArgumentError(""Month: -102 out of range (1:12)"")",0245-01-20
12,0,34,1,1,0.03168910881974099,1.5,2830579,0.005123020735063669,1.0,0.005123020735063669,18,5,-45,-3,0,149,0045-05-18,"ArgumentError(""Month: 0 out of range (1:12)"")"
