bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
9,3,13,0,1,6.641870336040635e-5,0.00010045203415369161,0.6611981919528452,15094.0,5.0,38.0,4.0,Underweight,Obese
16,0,10,1,1,6.621327212334641e-5,0.001571627965764565,0.0421303728144943,-115.0,-311.0,114.0,13995.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
14,3,9,1,1,6.613416326316717e-5,0.0005114251396330334,0.12931347745365218,61.0,10.0,14289.0,-4131.0,Obese,"DomainError(""Height or Weight cannot be negative."", """")"
12,3,13,0,1,6.609571720968988e-5,9.81566086951706e-5,0.6733700164290808,2401.0,14943.0,26.0,1.0,Obese,Underweight
17,0,10,1,1,6.59285987971175e-5,0.004182692992363208,0.015762237132271106,-1746.0,21417.0,500.0,7224.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,1,12,0,1,6.385354702864104e-5,0.00407791819107433,0.01565836881387235,35.0,3.0,6511.0,804.0,Overweight,Underweight
11,2,13,0,1,6.295222938778211e-5,0.0006868020098358922,0.09165993763300755,129.0,45.0,16014.0,1.0,Obese,Underweight
16,4,6,1,1,6.123615613440434e-5,0.0009013664745348798,0.06793702435627332,5034.0,1.0,11588.0,-13600.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
14,3,11,0,1,5.986837821763076e-5,0.00010670762597416312,0.5610506060000487,3965.0,0.0,2791.0,16662.0,Underweight,Normal
15,3,7,1,1,5.9544015176133175e-5,8.173606793997032e-5,0.7284913096121075,2516.0,13176.0,0.0,-2749.0,Normal,"DomainError(""Height or Weight cannot be negative."", """")"
13,3,6,1,1,5.715128259744466e-5,9.194002275755363e-5,0.6216148406679529,941.0,65.0,-8.0,-16084.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
12,5,14,0,1,5.680594522267301e-5,6.742237527285892e-5,0.8425384746944745,0.0,13459.0,10062.0,1.0,Severely obese,Underweight
13,6,6,1,1,5.549822283462425e-5,9.052112340107809e-5,0.6130969297489217,7.0,0.0,-16609.0,-1192.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
16,1,10,1,1,5.5316114307427175e-5,0.007938407952875143,0.006968162210332452,15345.0,-7186.0,122.0,661.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
15,4,6,1,1,5.47633305460676e-5,9.44058744994569e-5,0.580083928425266,1566.0,4.0,5709.0,-16362.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
14,5,6,1,1,5.441453074132516e-5,0.0004194772782377419,0.12971985269363104,0.0,-11883.0,12131.0,13.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
14,3,17,0,1,5.382155318100467e-5,0.00047069081472360245,0.1143458752485102,3.0,3039.0,3094.0,21360.0,Severely obese,Normal
13,4,14,0,1,5.351231922548393e-5,6.624942065373767e-5,0.807740183950799,1.0,12.0,12095.0,13124.0,Severely obese,Underweight
17,4,6,1,1,5.308011643394435e-5,0.023156667079524143,0.002292217453040963,29073.0,-15806.0,21760.0,2.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
15,6,10,1,1,5.2041772117294375e-5,0.9473684210526316,5.4932981679366284e-5,-1.0,221641.0,0.0,239845.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
13,2,19,0,1,5.1692935493084316e-5,0.0008917130280428932,0.05797037148435357,2690.0,17219.0,10.0,16.0,Overweight,Severely obese
15,4,7,1,1,4.9884243024305126e-5,8.086808213076317e-5,0.6168594791656197,1084.0,2611.0,0.0,-16603.0,Normal,"DomainError(""Height or Weight cannot be negative."", """")"
10,3,13,0,1,4.9780900596998514e-5,0.0003615756960710928,0.13767767341091042,19.0,1.0,20107.0,33.0,Obese,Underweight
16,0,14,0,1,4.966164327567836e-5,0.003392836440616295,0.014637205224858268,264.0,1326.0,9521.0,18171.0,Severely obese,Underweight
11,4,20,0,1,4.91266651823666e-5,7.68175692673199e-5,0.639523817935571,2398.0,15821.0,1.0,8.0,Obese,Severely obese
13,2,17,0,1,4.8128285634832434e-5,0.0009739975340088932,0.04941314937086175,0.0,181.0,3244.0,20704.0,Severely obese,Normal
17,4,10,1,1,4.779471723146549e-5,0.04506172049884681,0.0010606500751050689,511.0,172237.0,-1.0,192052.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
18,1,10,1,1,4.7386971707450516e-5,0.0007502922768826122,0.06315801610585484,10922.0,-14598.0,194.0,2272.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
15,4,10,1,1,4.544382906011144e-5,0.0008860394271594313,0.05128872109653244,8.0,10316.0,-21.0,-10531.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
16,1,6,1,1,4.486228805966772e-5,0.007095818969912811,0.006322355213667318,977.0,-37.0,18745.0,10403.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
16,4,14,0,1,4.257609090536499e-5,9.576127647060466e-5,0.4446065515682046,1.0,24731.0,21754.0,19304.0,Severely obese,Underweight
18,1,6,1,1,4.2567172388252925e-5,0.0007156988125883298,0.0594763769892372,9934.0,268.0,-1931.0,-17924.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
14,1,19,0,1,4.208446585642679e-5,0.0008333904951355979,0.05049789516687418,2937.0,21491.0,15.0,306.0,Overweight,Severely obese
9,3,17,0,1,4.1592129990551734e-5,9.979995189383998e-5,0.41675501041117186,0.0,24044.0,22.0,1.0,Severely obese,Normal
9,3,11,0,1,4.13137781097536e-5,0.00010042176688286887,0.41140262108653847,21.0,1.0,24226.0,0.0,Normal,Underweight
14,5,10,1,1,4.1088088851465184e-5,0.00023678264328859025,0.1735266076972842,3.0,10869.0,23.0,-12188.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
16,0,7,1,1,4.086475990784508e-5,0.0008489713099967955,0.048134441560810017,1492.0,4777.0,-57.0,28218.0,Normal,"DomainError(""Height or Weight cannot be negative."", """")"
19,1,10,1,1,4.0542060015032385e-5,0.00019954555768826178,0.20317194972773508,-16786.0,42250.0,477.0,26501.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
15,2,9,1,1,4.0466962428342895e-5,0.0005163848037237847,0.07836590491533665,119.0,40.0,-23858.0,3443.0,Obese,"DomainError(""Height or Weight cannot be negative."", """")"
13,4,7,1,1,3.942060541702148e-5,0.0005232083121914622,0.07534399683351352,1057.0,-24326.0,52.0,6.0,"DomainError(""Height or Weight cannot be negative."", """")",Normal
12,3,11,0,1,3.726005279747391e-5,9.78086687188719e-5,0.38094836874397303,23.0,1.0,6395.0,26072.0,Normal,Underweight
12,3,9,1,1,3.674369365553053e-5,0.0009261266644387655,0.039674587792801835,3040.0,26492.0,5.0,-6.0,Obese,"DomainError(""Height or Weight cannot be negative."", """")"
15,2,14,0,1,3.65956984905338e-5,6.842598701465212e-5,0.5348216384909075,14.0,21258.0,15733.0,443.0,Severely obese,Underweight
12,2,9,1,1,3.652462477573651e-5,0.0009480115179084641,0.03852761710777355,-10.0,26856.0,97.0,25.0,"DomainError(""Height or Weight cannot be negative."", """")",Obese
16,3,10,1,1,3.5853009319716105e-5,0.0006858289835780665,0.05227689435442914,29.0,998.0,-25936.0,-3904.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
13,3,8,1,1,3.342084097076845e-5,8.788407600380144e-5,0.3802832377656542,86.0,17.0,742.0,-26963.0,Overweight,"DomainError(""Height or Weight cannot be negative."", """")"
18,3,10,1,1,3.334497882943054e-5,0.006574351747581456,0.0050719797342296665,10.0,17705.0,-2385.0,-10605.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
17,1,6,1,1,3.306189948613239e-5,8.91351191503848e-5,0.3709188903461477,1590.0,972.0,-671.0,-26900.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
12,2,11,0,1,3.2161332207509005e-5,0.0008472285704950373,0.03796063226328295,31337.0,1.0,244.0,123.0,Underweight,Normal
13,1,17,0,1,3.152938247533795e-5,0.00010105626429322614,0.3119982981347093,12.0,31917.0,315.0,202.0,Severely obese,Normal
16,1,14,0,1,3.093427404414238e-5,6.791171036634267e-5,0.45550721484219214,27007.0,164.0,103.0,15275.0,Underweight,Severely obese
18,0,10,1,1,2.953198037755699e-5,0.0007052175850726007,0.04187640949781015,1433.0,31098.0,-1741.0,-824.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
18,5,14,0,1,2.9279478683319032e-5,9.162633763058898e-5,0.31955308310330444,29578.0,122868.0,3.0,109151.0,Underweight,Severely obese
