bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,i1_1,i1_2,i2_1,i2_2,output1,output2,fitness_max,fitness_ratio_max
19,16,5,1,1,3.1708011939869643e-10,3.0,-1.0,3.122857657e9,111919.0,in,"DomainError(-8.69450411530016e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.260170096110456e-10,0.9725876566286792
22,19,6,1,1,3.158418780023761e-10,-39.0,-3.162454718e9,1.0,3.686537e6,"DomainError(-8.44562423030909e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,3.29247360420619e-10,0.9592844650261821
14,19,5,1,1,3.150415936814474e-10,0.0,3.142442255e9,0.0,51.0,"DomainError(-8.571800747700066e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",in,3.2607316174436267e-10,0.9661684267300603
18,13,5,1,1,3.136703328146651e-10,-10.0,-1.0,3.156805001e9,-60.0,in,"DomainError(-8.481326259370938e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.259133350717423e-10,0.9624347918921998
25,16,6,1,1,3.103421981572552e-10,-7.5438055e7,0.0,3.146811468e9,20889.0,out,"DomainError(-8.544321658136886e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",4.781169865158593e-10,0.6490926005762422
24,21,9,0,1,3.0953774280837745e-10,3.159717006e9,-6.73140825e8,-2.0,14.0,out,in,6.702438249617394e-9,0.04618285633978758
23,8,6,1,1,3.055730580239028e-10,-12.0,-1142.0,3.272539807e9,-9396.0,out,"DomainError(-7.73722728522167e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.2921788296506953e-10,0.9281787953673358
24,7,6,1,1,3.047497033498302e-10,-4771.0,4965.0,-1202.0,3.281386338e9,out,"DomainError(-7.679247774495057e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.292293814246531e-10,0.9256455241968575
16,16,5,1,1,3.0342134189744246e-10,0.0,-10.0,3.263435829e9,12.0,in,"DomainError(-7.796730663708634e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.260318479963607e-10,0.930649394413853
27,12,6,1,1,3.0294873793192423e-10,320071.0,1.28820123e8,3.298693936e9,-1.0,out,"DomainError(-7.56536239030638e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",4.653363023515932e-10,0.6510318159167086
17,20,6,1,1,3.019290311621478e-10,1.0,834.0,46.0,-3.31203576e9,out,"DomainError(-7.477163198190772e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.2922976893753383e-10,0.9170769464028451
20,18,6,1,1,3.013749022668695e-10,-2.0,3.318126177e9,1.024837e6,0.0,"DomainError(-7.436782747216916e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,3.2988908706305017e-10,0.9135643283928006
29,9,6,1,1,3.009342958632486e-10,458.0,1.379262e6,4.03245321e8,3.299806092e9,out,"DomainError(-7.395417040000846e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",4.480045502509344e-10,0.6717215164325687
20,24,5,1,1,2.99705920572616e-10,7.856068e6,-3.304200533e9,1.0,2.0,"DomainError(-7.528941193627647e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",in,3.259509902498706e-10,0.9194815464216403
24,18,6,1,1,2.988690475748753e-10,-3.302723013e9,105.0,4.322401e7,-1.0,"DomainError(-7.538764773109743e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,4.853179401226943e-10,0.6158211408779111
19,14,6,1,1,2.968156528434384e-10,83.0,92.0,3.369094638e9,61554.0,out,"DomainError(-7.095945390120306e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.2925446492694885e-10,0.9014779887929307
13,20,5,1,1,2.9418915232808353e-10,1.0,3.365181864e9,1.0,0.0,"DomainError(-7.122295095915037e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",in,3.260447745801351e-10,0.9022967864058742
24,27,6,1,1,2.939217424921524e-10,10.0,-1.09674204e8,-3.400497988e9,2.0,out,"DomainError(-6.883357507317503e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",1.6336061590663746e-9,0.17992203375392032
18,15,6,1,1,2.9369111763368806e-10,154.0,1.0,3.404937995e9,8975.0,out,"DomainError(-6.853141323834381e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.292682775084771e-10,0.8919508428081927
31,20,6,1,1,2.936550020189921e-10,-3.755833625e9,1.0,-3.67436239e8,3.39435923e8,"DomainError(-4.340457855028911e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,4.2349037719857405e-9,0.069341599674955
21,13,6,1,1,2.908802385930606e-10,3.437839202e9,58884.0,-1762.0,1.0,"DomainError(-6.62800569143423e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,3.2920294415192775e-10,0.8835894203267479
23,19,6,1,1,2.899725133488745e-10,-12.0,4.60213883e8,2.0,3.908816609e9,out,"DomainError(-3.1678967909152927e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",4.825081509413903e-10,0.6009691500198038
20,14,6,1,1,2.8973020412035114e-10,1.0,-856.0,-3467.0,3.45148603e9,out,"DomainError(-6.533988258412371e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.292704040245597e-10,0.8799157184462308
30,19,6,1,1,2.888902737879253e-10,1.37705927e8,1.856542094e9,3.059244065e9,0.0,out,"DomainError(-9.087769824471827e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",4.270908702854117e-8,0.0067641406990242795
26,17,6,1,1,2.8710752942317957e-10,147.0,-3.45358053e9,4.51861021e8,123.0,"DomainError(-6.519525596514449e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,5.942788741617194e-7,0.00048311919185781084
23,16,6,1,1,2.8612446099318036e-10,1.0,-66873.0,-3.494982553e9,49692.0,out,"DomainError(-6.231841025465859e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.3780014287965225e-10,0.8470229128799323
17,18,5,1,1,2.853104068773472e-10,3.0,0.0,3.470592223e9,30332.0,in,"DomainError(-6.401733694441439e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.2601639790335504e-10,0.8751412772860745
