bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
111,2,2,2,1,1.9086885982699036e-17,0.0,28978684,6.340262810838297e-20,1.002932374913156e-17,0.006321725142622205,2285321009665875407,5100650230794333662,-1573442340148950691,-1632329246916160579,18663027284991571,1858266779949990,"ArgumentError(""Month: 5100650230794333662 out of range (1:12)"")","ArgumentError(""Month: 18663027284991571 out of range (1:12)"")"
113,2,0,2,1,6.58341448806921e-18,0.0,10939231,6.331372580500609e-20,3.258659054365982e-17,0.0019429380229324012,-8391864916166887898,5536535625143164167,4097366707702643741,-3420666734452933121,2924814298596760619,3233373728779178,"ArgumentError(""Month: 5536535625143164167 out of range (1:12)"")","ArgumentError(""Month: 2924814298596760619 out of range (1:12)"")"
113,3,4,2,1,1.6571424542131041e-18,0.0,3787429,5.914673490891465e-20,3.6893341591119355e-19,0.16031818305976364,-6543649345536207761,5808623726231252580,-1281399461815751546,-9128013586660977046,393885460042162,1298686305179717895,"ArgumentError(""Month: 5808623726231252580 out of range (1:12)"")","ArgumentError(""Month: 393885460042162 out of range (1:12)"")"
111,3,0,2,1,1.0164172544675744e-17,0.0,16527615,5.659211310838289e-20,2.00421857563215e-17,0.002823649765372182,119349682303547302,1282314054691398370,-8785976575108010656,974667613200261,7154762252877932156,-3495273940977359196,"ArgumentError(""Month: 1282314054691398370 out of range (1:12)"")","ArgumentError(""Month: 7154762252877932156 out of range (1:12)"")"
113,1,3,2,1,1.3579265281154053e-18,0.0,2268693,5.600192218110959e-20,3.2215891705649816e-19,0.17383322086126932,609688161369010829,86130218492623416,1515197521575777402,5452084558878190337,-3976998644776482739,-3541536823046739302,"ArgumentError(""Month: 86130218492623416 out of range (1:12)"")","ArgumentError(""Month: -3976998644776482739 out of range (1:12)"")"
113,2,1,2,1,8.589071160830182e-18,0.0,13986989,5.588643353190747e-20,4.391517871004257e-18,0.012725994786656146,-2624260391720070790,-2637174862381822540,-151686529566279687,8165962400900563,4806563888958519734,-446321238858244279,"ArgumentError(""Month: -2637174862381822540 out of range (1:12)"")","ArgumentError(""Month: 4806563888958519734 out of range (1:12)"")"
114,4,1,2,1,2.0274539757754397e-18,0.0,5140029,5.554706672507023e-20,2.1586694556735365e-18,0.025732085372810694,-7449104740508231689,-1577991273087506362,-2665087359007466336,-2692281770161207784,5440029258404351674,715537862173955,"ArgumentError(""Month: -1577991273087506362 out of range (1:12)"")","ArgumentError(""Month: 5440029258404351674 out of range (1:12)"")"
113,2,4,2,1,9.376019029024359e-18,0.0,15765081,5.375625212297824e-20,2.6032616323586677e-19,0.20649577228345176,1724240613046331434,-1679941983336782544,5211699353850555041,4589965933482913770,8876505758376635,-2387919868505097652,"ArgumentError(""Month: -1679941983336782544 out of range (1:12)"")","ArgumentError(""Month: 8876505758376635 out of range (1:12)"")"
114,2,4,2,1,8.801492320922175e-18,0.0,15042396,5.3223493462384535e-20,3.32145163671276e-19,0.16024166323571645,-5554534402475323041,-2794419021261707752,1471974808339988626,1847999026753159933,3108135186497842,-2027362394579351385,"ArgumentError(""Month: -2794419021261707752 out of range (1:12)"")","ArgumentError(""Month: 3108135186497842 out of range (1:12)"")"
112,2,1,2,1,1.3148005752107616e-17,0.0,23569479,5.262701412120719e-20,4.68094206217637e-18,0.011242825359119834,-471411473677455130,226606761983535384,-6157031409089569169,-3251487630114882018,4899619249161454085,3492200996171491,"ArgumentError(""Month: 226606761983535384 out of range (1:12)"")","ArgumentError(""Month: 4899619249161454085 out of range (1:12)"")"
112,2,0,2,1,1.5979957193041894e-18,0.0,3669353,5.0694096907961707e-20,1.8995647469175622e-17,0.0026687217158679844,516638499999274404,8907752925300917248,-2981211339612438090,-7646807573333642476,7384278373217270649,4649819825975126,"ArgumentError(""Month: 8907752925300917248 out of range (1:12)"")","ArgumentError(""Month: 7384278373217270649 out of range (1:12)"")"
110,1,3,2,1,1.8410270024708412e-17,0.0,27775386,4.9885512061068276e-20,2.1305361933615457e-18,0.023414533964034305,-927833122622547329,7292172018478099,-366413410583599901,709629596716441549,5219936827606557827,5346974661036576051,"ArgumentError(""Month: 7292172018478099 out of range (1:12)"")","ArgumentError(""Month: 5219936827606557827 out of range (1:12)"")"
110,2,3,2,1,1.8268088182294522e-17,0.0,27707644,4.869448245805111e-20,1.9741942277202665e-18,0.024665497332692472,4145987381554863295,2965264571279083,-2393667481658699642,86419617746845232,7366006774458782135,1603447310730675491,"ArgumentError(""Month: 2965264571279083 out of range (1:12)"")","ArgumentError(""Month: 7366006774458782135 out of range (1:12)"")"
112,2,3,2,1,4.076441305381349e-18,0.0,7720259,4.698310042009977e-20,1.2746300680018378e-18,0.036860185240845916,-7324618888124054294,2383932835291843,8381601192567766650,-2827878914831379527,2075710630160668565,283973068951644165,"ArgumentError(""Month: 2383932835291843 out of range (1:12)"")","ArgumentError(""Month: 2075710630160668565 out of range (1:12)"")"
110,1,4,2,1,1.8899704637285365e-17,0.0,28688784,4.394915296794472e-20,2.0935809719110223e-19,0.20992334931200632,6619509547269651744,1099212152311408,-942012245072674437,700472101361062766,-7753678660745158997,339323648213081903,"ArgumentError(""Month: 1099212152311408 out of range (1:12)"")","ArgumentError(""Month: -7753678660745158997 out of range (1:12)"")"
109,0,0,2,1,8.845407074182633e-18,0.0,15142027,4.391475326045867e-20,2.9556671509225875e-16,0.00014857814164477565,52629073886002643,8835373900214002877,600751971652864040,438172310472969417,-381337466762177143,956918325092562002,"ArgumentError(""Month: 8835373900214002877 out of range (1:12)"")","ArgumentError(""Month: -381337466762177143 out of range (1:12)"")"
111,2,4,2,1,1.3449700691386021e-17,0.0,24652317,4.326541071934099e-20,9.793526217526382e-20,0.44177561542556254,5211161660785315269,1120846436207751,680183518015886370,404578091901107532,-8122225249616023813,-3373518786240434774,"ArgumentError(""Month: 1120846436207751 out of range (1:12)"")","ArgumentError(""Month: -8122225249616023813 out of range (1:12)"")"
114,2,1,2,1,1.3095378737986408e-17,0.0,23568692,4.2796089216657076e-20,2.076685411982496e-18,0.02060788262378269,-2144645742258553111,2110760209468382180,5161178885659522410,-3138924634782070547,-4899707089206872680,-784338952042960,"ArgumentError(""Month: 2110760209468382180 out of range (1:12)"")","ArgumentError(""Month: -4899707089206872680 out of range (1:12)"")"
114,4,5,2,1,1.8942112734482135e-17,0.0,28706362,4.2408097196770584e-20,1.0373244668315108e-19,0.40882191207063073,-7540011224115368035,-6577576781761388692,-6047895694790934024,-5931845864501153187,471465568763206,1328768977213564874,"ArgumentError(""Month: -6577576781761388692 out of range (1:12)"")","ArgumentError(""Month: 471465568763206 out of range (1:12)"")"
111,2,0,2,1,1.1269767958051396e-17,0.0,20645276,4.192919839474431e-20,9.805216326195765e-17,0.00042762134969654493,58922084999150668,-1280530370350465980,4522941415656845858,2221141318294160348,-8933452729576595042,1815017239773751,"ArgumentError(""Month: -1280530370350465980 out of range (1:12)"")","ArgumentError(""Month: -8933452729576595042 out of range (1:12)"")"
112,2,2,2,1,2.006938110611005e-17,0.0,29257010,4.1475367574792625e-20,8.404678255826137e-18,0.004934795397556335,-7109798020815182709,-1868931342440722625,2824135419773665600,2823065291244698057,570261408817474777,7538547534304329,"ArgumentError(""Month: -1868931342440722625 out of range (1:12)"")","ArgumentError(""Month: 570261408817474777 out of range (1:12)"")"
