x,y,output,outputtype,datatype,metric,n_x,n_y,n_output,n_outputtype,n_datatype,count
-10000,289813283013526197680284198778785237580,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,-9999,289813283013526197680284198778785237580,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
13485313053108757555,-10000,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,13485313053108757555,-9999,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
-10,4923205080843825916,"InexactError(:check_top_bit, UInt64, -10)",error,InexactError,1.0,-9,4923205080843825916,"InexactError(:check_top_bit, UInt64, -9)",error,InexactError,1
-10,335151217201178167869416005828616739576,"InexactError(:check_top_bit, UInt128, -10)",error,InexactError,1.0,-9,335151217201178167869416005828616739576,"InexactError(:check_top_bit, UInt128, -9)",error,InexactError,1
272721674200540055751568689781143648796,-10,"InexactError(:check_top_bit, UInt128, -10)",error,InexactError,1.0,272721674200540055751568689781143648796,-9,"InexactError(:check_top_bit, UInt128, -9)",error,InexactError,1
-100,323572807448024715847644758232562677238,"InexactError(:check_top_bit, UInt128, -100)",error,InexactError,1.0,-99,323572807448024715847644758232562677238,"InexactError(:check_top_bit, UInt128, -99)",error,InexactError,1
-1000000000,16497138038390505036,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,-999999999,16497138038390505036,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
2766791857514144316,-1000000000,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,2766791857514144316,-999999999,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
-100,265581237407536591692919570281692687486,"InexactError(:check_top_bit, UInt128, -100)",error,InexactError,1.0,-99,265581237407536591692919570281692687486,"InexactError(:check_top_bit, UInt128, -99)",error,InexactError,1
1312651817488046999,-1000000000,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,1312651817488046999,-999999999,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
-1000000000,102072030746776713662032536390179504615,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,-999999999,102072030746776713662032536390179504615,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
-100,1884512968967612956,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,-99,1884512968967612956,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
11237015749676824000,-100,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,11237015749676824000,-99,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
289295266704067917300282484743441738470,-1000000000,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,289295266704067917300282484743441738470,-999999999,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
10629912985228385704,-100000000,"InexactError(:check_top_bit, UInt64, -100000000)",error,InexactError,1.0,10629912985228385704,-99999999,"InexactError(:check_top_bit, UInt64, -99999999)",error,InexactError,1
128710422560754527005614119473104136481,-10,"InexactError(:check_top_bit, UInt128, -10)",error,InexactError,1.0,128710422560754527005614119473104136481,-9,"InexactError(:check_top_bit, UInt128, -9)",error,InexactError,1
-1000,6343514002251952802,"InexactError(:check_top_bit, UInt64, -1000)",error,InexactError,1.0,-999,6343514002251952802,"InexactError(:check_top_bit, UInt64, -999)",error,InexactError,1
-10,6782476023505613733,"InexactError(:check_top_bit, UInt64, -10)",error,InexactError,1.0,-9,6782476023505613733,"InexactError(:check_top_bit, UInt64, -9)",error,InexactError,1
284715959102811948280170117374207023843,-1000000000,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,284715959102811948280170117374207023843,-999999999,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
-100000000,4632177126343189131,"InexactError(:check_top_bit, UInt64, -100000000)",error,InexactError,1.0,-99999999,4632177126343189131,"InexactError(:check_top_bit, UInt64, -99999999)",error,InexactError,1
330097138049880903716544691154460852308,-1000000000,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,330097138049880903716544691154460852308,-999999999,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
14320922497686535696,-10000,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,14320922497686535696,-9999,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
137337000934159027079181692992998452675,-10,"InexactError(:check_top_bit, UInt128, -10)",error,InexactError,1.0,137337000934159027079181692992998452675,-9,"InexactError(:check_top_bit, UInt128, -9)",error,InexactError,1
-100,9872583313593492544,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,-99,9872583313593492544,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
1236245895783296248,-100,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,1236245895783296248,-99,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
228533353985874874467445988018008090410,-100000000,"InexactError(:check_top_bit, UInt128, -100000000)",error,InexactError,1.0,228533353985874874467445988018008090410,-99999999,"InexactError(:check_top_bit, UInt128, -99999999)",error,InexactError,1
15159400484709468190,-100,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,15159400484709468190,-99,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
335200571509840134553470907671087635180,-100000000,"InexactError(:check_top_bit, UInt128, -100000000)",error,InexactError,1.0,335200571509840134553470907671087635180,-99999999,"InexactError(:check_top_bit, UInt128, -99999999)",error,InexactError,1
-100000000,259718848247841010736896945896950300804,"InexactError(:check_top_bit, UInt128, -100000000)",error,InexactError,1.0,-99999999,259718848247841010736896945896950300804,"InexactError(:check_top_bit, UInt128, -99999999)",error,InexactError,1
-100,15775338313513649120,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,-99,15775338313513649120,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
7038813545511887833,-10000,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,7038813545511887833,-9999,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
-1000,132391393470097357535442012153520781346,"InexactError(:check_top_bit, UInt128, -1000)",error,InexactError,1.0,-999,132391393470097357535442012153520781346,"InexactError(:check_top_bit, UInt128, -999)",error,InexactError,1
15132281210654118441,-100,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,15132281210654118441,-99,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
-10000,17279760597101361447476648888548232374,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,-9999,17279760597101361447476648888548232374,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
78985282235155587864761858758778058361,-100,"InexactError(:check_top_bit, UInt128, -100)",error,InexactError,1.0,78985282235155587864761858758778058361,-99,"InexactError(:check_top_bit, UInt128, -99)",error,InexactError,1
7015132841288597097,-10000,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,7015132841288597097,-9999,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
13474863194397798673,-10000000,"InexactError(:check_top_bit, UInt64, -10000000)",error,InexactError,1.0,13474863194397798673,-9999999,"InexactError(:check_top_bit, UInt64, -9999999)",error,InexactError,1
-100,164150580054572850348713483863781639217,"InexactError(:check_top_bit, UInt128, -100)",error,InexactError,1.0,-99,164150580054572850348713483863781639217,"InexactError(:check_top_bit, UInt128, -99)",error,InexactError,1
