x,y,output,outputtype,datatype,metric,n_x,n_y,n_output,n_outputtype,n_datatype,count
123,false,DivideError(),error,DivideError,1.0,123,true,"(0x7b, 0x01)",valid,"Tuple{UInt8, UInt8}",10
123,false,DivideError(),error,DivideError,5.0,123,true,"(123, 1)",valid,"Tuple{Int64, Int64}",15
122,false,DivideError(),error,DivideError,5.0,122,true,"(122, 1)",valid,"Tuple{Int64, Int64}",14
122,false,DivideError(),error,DivideError,1.0,122,true,"(0x7a, 0x01)",valid,"Tuple{UInt8, UInt8}",15
121,false,DivideError(),error,DivideError,1.0,121,true,"(0x79, 0x01)",valid,"Tuple{UInt8, UInt8}",15
121,false,DivideError(),error,DivideError,5.0,121,true,"(121, 1)",valid,"Tuple{Int64, Int64}",6
119,false,DivideError(),error,DivideError,1.0,119,true,"(0x77, 0x01)",valid,"Tuple{UInt8, UInt8}",5
119,false,DivideError(),error,DivideError,5.0,119,true,"(119, 1)",valid,"Tuple{Int64, Int64}",11
118,false,DivideError(),error,DivideError,1.0,118,true,"(0x76, 0x01)",valid,"Tuple{UInt8, UInt8}",5
118,false,DivideError(),error,DivideError,5.0,118,true,"(118, 1)",valid,"Tuple{Int64, Int64}",4
117,false,DivideError(),error,DivideError,1.0,117,true,"(0x75, 0x01)",valid,"Tuple{UInt8, UInt8}",2
117,false,DivideError(),error,DivideError,5.0,117,true,"(117, 1)",valid,"Tuple{Int64, Int64}",5
116,false,DivideError(),error,DivideError,1.0,116,true,"(0x74, 0x01)",valid,"Tuple{UInt8, UInt8}",4
116,false,DivideError(),error,DivideError,5.0,116,true,"(116, 1)",valid,"Tuple{Int64, Int64}",5
115,false,DivideError(),error,DivideError,1.0,115,true,"(0x73, 0x01)",valid,"Tuple{UInt8, UInt8}",6
115,false,DivideError(),error,DivideError,5.0,115,true,"(115, 1)",valid,"Tuple{Int64, Int64}",4
114,false,DivideError(),error,DivideError,5.0,114,true,"(114, 1)",valid,"Tuple{Int64, Int64}",12
114,false,DivideError(),error,DivideError,1.0,114,true,"(0x72, 0x01)",valid,"Tuple{UInt8, UInt8}",6
113,false,DivideError(),error,DivideError,1.0,113,true,"(0x71, 0x01)",valid,"Tuple{UInt8, UInt8}",9
113,0,DivideError(),error,DivideError,5.0,113,1,"(113, 1)",valid,"Tuple{Int64, Int64}",15
