bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
35,57,1,2,1,1.0908227578011425e-20,3.8020916696406775e-19,0.028690069903133934,22.0,-2430,1015,2,14.0,-8.239048651926177e19,"ArgumentError(""Month: -2430 out of range (1:12)"")","InexactError(:Int64, Int64, -82390486519261772328)"
30,55,4,2,1,9.955705448709863e-21,4.0297442459708997e-19,0.02470555162071136,-1.0,0,0,-2,8475.0,8.77124620769972e19,"ArgumentError(""Month: 0 out of range (1:12)"")","InexactError(:Int64, Int64, 87712462076997201202)"
42,50,2,2,1,9.131306859469088e-21,1.056127989779861e-14,8.646022970542059e-7,1.0,1152171,97985628550092952684,14,398.0,3.9323164e8,"InexactError(:Int64, Int64, 97985628550092952684)","ArgumentError(""Month: 398 out of range (1:12)"")"
33,66,6,2,1,8.544653514187379e-21,9.000402820855547e-21,0.9493634545320444,-1.0,0,-197,777,6.0,-1.0438011212637372e20,"ArgumentError(""Month: 0 out of range (1:12)"")","InexactError(:Int64, Int64, -104380112126373727348)"
52,66,2,2,1,8.249164621182242e-21,3.8139767012687376e-17,0.0002162877559906991,0.0,1040,-15577250848002,-215109341,0.0,1.048427054231352e20,"ArgumentError(""Month: 1040 out of range (1:12)"")","InexactError(:Int64, Int64, 104842705423135191043)"
41,53,4,2,1,8.061371040666218e-21,3.0627997494934664e-17,0.0002632026805539418,42793.0,27,-23,53,-8.07076e6,1.0916257241612761e20,"ArgumentError(""Month: 27 out of range (1:12)"")","InexactError(:Int64, Int64, 109162572416127606875)"
35,60,40,1,1,7.962012310556669e-21,9.511511046954828e-20,0.08370922633902379,1.2559638958032264e20,3,-133656,2,1.0,3784.0,"InexactError(:Int64, Int64, 125596389580322628797)",3784-01-02
31,61,2,2,1,7.685392116715391e-21,8.831781244442198e-20,0.0870197291350686,2.0,3893,39,-2,1.0,1.1797272707721786e20,"ArgumentError(""Month: 3893 out of range (1:12)"")","InexactError(:Int64, Int64, 117972727077217868796)"
57,63,3,2,1,7.533728133663775e-21,1.9895790232931066e-16,3.786594071138787e-5,4.5091211113649864e16,243,479972291,1,-85939.0,1.1894560247187725e20,"ArgumentError(""Month: 243 out of range (1:12)"")","InexactError(:Int64, Int64, 118945602471877252003)"
42,60,0,2,1,6.936761075643764e-21,1.3088888269655241e-13,5.299732821255473e-8,1.0,2895036,-42,-127736264764583474218,2.082967e6,-1.0,"ArgumentError(""Month: 2895036 out of range (1:12)"")","InexactError(:Int64, Int64, -127736264764583474218)"
