bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
93,137,16,2,1,1.5011561329853962e-36,7.41249878060314e-31,2.0251688093542596e-6,-2.006055e6,17128085184219403355,19,407646003677497473267071854858814272,2.329594704504e12,-1.032449501202e12,"InexactError(:Int64, Int64, 17128085184219403355)","InexactError(:Int64, Int64, 407646003677497473267071854858814272)"
52,187,19,2,1,1.4772517260228216e-36,8.919969876207804e-35,0.016561173933592403,14.0,-4,0,921263221,15.0,6.242823792158326e35,"ArgumentError(""Month: -4 out of range (1:12)"")","InexactError(:Int64, Int64, 624282379215832567172160883690095803)"
83,162,19,2,1,1.4749684888778797e-36,9.006873095581223e-34,0.0016376032761042233,2.1392096817307494e18,34,78,3832068793,6.0702912907004686e35,-1.11489575932e12,"ArgumentError(""Month: 34 out of range (1:12)"")","InexactError(:Int64, Int64, 607029129070046868398351734410338559)"
86,217,13,2,1,1.3933689181313533e-36,3.3289480617588914e-31,4.1856132696619765e-6,-8942.0,-6627192,118884,1,1.0639170197600859e29,6.46705182937016e35,"ArgumentError(""Month: -6627192 out of range (1:12)"")","InexactError(:Int64, Int64, 646705182937016034401152060402958592)"
55,184,16,2,1,1.2351065531397217e-36,8.450735120013247e-35,0.014615374113604753,8.0,11791,12,727772354708489987906069757370145762,1.844764813e9,1.0,"ArgumentError(""Month: 11791 out of range (1:12)"")","InexactError(:Int64, Int64, 727772354708489987906069757370145762)"
61,168,16,2,1,1.1151793608052061e-36,8.843050290008217e-31,1.2610799715401933e-6,98.0,13443,27,782020412058313536996497385347472882,-82706.0,1.857378448e9,"ArgumentError(""Month: 13443 out of range (1:12)"")","InexactError(:Int64, Int64, 782020412058313536996497385347472882)"
75,160,5,2,1,1.1122427643916953e-36,1.2057581556466487e-27,9.224426633010821e-10,-177135.0,5841547456080508,12150763404,778588460332145179248866432718370550,-258.0,1.0,"ArgumentError(""Month: 5841547456080508 out of range (1:12)"")","InexactError(:Int64, Int64, 778588460332145179248866432718370550)"
80,186,2,2,1,1.1049059731984078e-36,1.3884142354768795e-29,7.958042671745619e-8,2.5750069368728e13,-782749741465612697755902243283428297,29371386161413105530,13787,1.0,244.0,"InexactError(:Int64, Int64, 29371386161413105530)","ArgumentError(""Day: 13787 out of range (1:31)"")"
87,291,1,2,1,1.1003201145901773e-36,1.1278520643040207e-35,0.09755890416968534,-9.988403300327131e34,87,10208,337,-5.56046168687616e35,2253.0,"InexactError(:Int64, Int64, -99884033003271304706825939699668802)","InexactError(:Int64, Int64, -556046168687616051770047522732865737)"
43,213,21,2,1,1.0827918661298619e-36,9.154669596874529e-36,0.11827754728576277,0.0,0,6,7,-8.405238236629031e35,13.0,"ArgumentError(""Month: 0 out of range (1:12)"")","InexactError(:Int64, Int64, -840523823662903067308562413453312751)"
