bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,i1_1,i1_2,i2_1,i2_2,output1,output2,fitness_max,fitness_ratio_max
13,20,6,1,1,4.5380965854059615e-9,5.0,-2.16276023e8,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.814656209970438e-9,0.4623795768613713
16,14,6,1,1,4.344620007698805e-9,0.0,0.0,39204.0,2.25907321e8,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.811195393351092e-8,0.04428226972875387
13,14,6,1,1,4.2335057121485275e-9,0.0,0.0,2.31836579e8,30.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.814419293676012e-8,0.043135570077757084
20,18,9,0,1,4.209775708151238e-9,-2.37540516e8,-932796.0,-1.0,6.0,out,in,9.997467391574059e-9,0.4210842149582072
21,24,9,0,1,4.151357367015188e-9,1.0,0.0,-1.8041401e8,1.59613284e8,in,out,9.878863846735898e-9,0.4202261951800104
15,18,9,0,1,3.838800269886073e-9,2.0,-18.0,-2.60498052e8,3.0,in,out,9.999732507155433e-9,0.38389029577932926
14,19,6,1,1,3.6577332978139277e-9,57.0,-2.68330521e8,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.814414190425967e-9,0.3726899259440337
20,10,9,0,1,3.5040170901586244e-9,415776.0,2.85386432e8,-41.0,-1.0,out,in,9.99737463482887e-8,0.035049372641806624
20,21,9,0,1,2.904919016290626e-9,1.0,1.0,2.04580944e8,2.7685799e8,in,out,6.9789849558016e-8,0.04162380395842206
20,15,9,0,1,2.8414904991927503e-9,6.0,-10.0,433456.0,-3.51927719e8,in,out,9.998829781306085e-9,0.28418230546390844
21,24,6,1,1,2.3318742612823025e-9,0.0,0.0,1.70321889e8,-3.8489697e8,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.673625187111804e-9,0.2410548492605507
23,18,9,0,1,2.160586910147538e-9,1.79310238e8,-4.2669205e8,12.0,15.0,out,in,9.867339457089182e-9,0.2189634723263996
22,27,9,0,1,1.8120043793990355e-9,-1.26771177e8,-5.37117431e8,1.0,0.0,out,in,7.0065135266204554e-9,0.25861712426794436
16,18,6,1,1,1.7414790457060279e-9,0.0,0.0,-5.6359075e8,1331.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.810403560105479e-9,0.17751349728239965
22,16,9,0,1,1.7049037191843286e-9,23.0,19.0,-7.9490668e7,5.81131995e8,in,out,6.671492232285956e-8,0.025555058146266494
18,19,6,1,1,1.4156458627686644e-9,-6.93310032e8,-54789.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.813705837957834e-9,0.14425191524420614
25,20,6,1,1,1.2483841695480558e-9,4.135114554e9,2668.0,4.936150024e9,8.0,"DomainError(-1.3475716989998144e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,7.026004125539694e-8,0.01776805346598288
24,22,9,0,1,1.0873782214282747e-9,0.0,-28.0,-8.39356453e8,-3.75798354e8,in,out,6.54438239374514e-9,0.16615444453055608
21,15,9,0,1,9.817447245891524e-10,-1.0,-6.0,1.01858149e9,5.192742e6,in,out,9.998355566582192e-9,0.09819061925247666
18,19,9,0,1,9.656612872746691e-10,1.0,0.0,265925.0,1.035559756e9,in,out,9.99971136222922e-9,0.09656891607113305
21,21,9,0,1,9.644264545194178e-10,7.969162e6,-1.036855082e9,0.0,-6.0,out,in,9.99971527766751e-10,0.9644539146762344
17,20,9,0,1,9.628794322449974e-10,-7.0,-1.038551625e9,-56.0,1.0,out,in,9.999973640069473e-10,0.9628819703951819
16,22,9,0,1,9.385486016374797e-10,-1.065474926e9,-2.0,-2.0,1.0,out,in,9.999982100032036e-10,0.9385502816394771
14,25,9,0,1,9.3551555983719e-10,0.0,1.0,-1.068929308e9,5.0,in,out,9.999991900006561e-10,0.9355163176047934
20,22,9,0,1,9.336558818533554e-10,0.0,1.0,-2.117319e6,1.071056335e9,in,out,9.99252961417616e-9,0.09343538802515035
18,22,9,0,1,9.172446661271127e-10,6.0,2.0,-1.090221651e9,22896.0,in,out,9.999205491861407e-10,0.9173175477528491
21,16,9,0,1,9.165325107901752e-10,9.091384e6,1.091030878e9,0.0,-15.0,out,in,9.999617475744656e-9,0.09165675717229597
23,19,9,0,1,9.041140208252788e-10,1.91329043e8,1.089381125e9,0.0,-15.0,out,in,9.894346781530306e-9,0.09137682767628287
20,20,9,0,1,9.021108940322026e-10,-15114.0,-1.108511123e9,0.0,44.0,out,in,9.998015070514468e-10,0.902289992233211
26,16,9,0,1,8.68214157975671e-10,1.076277588e9,-4.10177686e8,-12.0,-29.0,out,in,6.295150835881281e-9,0.13791792772096884
24,12,9,0,1,8.517858621325365e-10,1.172692906e9,5.5467858e7,-12.0,-29.0,out,in,6.314494508802401e-8,0.013489375292751425
15,23,9,0,1,8.398405678244037e-10,-1.190702186e9,0.0,0.0,60.0,out,in,9.999998170000336e-10,0.8398407215152275
20,22,6,1,1,8.113822835349388e-10,2.044158e7,1.20946852e9,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.792327048583364e-9,0.08285898535755297
22,27,6,1,1,7.629982466650129e-10,-2.24967846e8,1.266523337e9,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",1.0,7.629982466650129e-10
19,17,9,0,1,7.574156571198225e-10,12.0,-31.0,-1.320279006e9,205.0,in,out,9.998979014247594e-10,0.7574929960754765
14,25,6,1,1,7.258903623054469e-10,1.0,-1.352107057e9,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.814389037175215e-10,0.7396184923543374
