bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
14,2,0,0,1,17.477751235360834,-0.5,28462198,9.894375562000531e-8,9.988360563435428e-8,0.9905905477842931,-42317,10064435,-42317B,10.1 MB
11,24,7,0,1,4.115425064381866,-29.5,2887582,9.862653671239683e-8,9.999958000176399e-8,0.9862695094385102,-10139212,47,-10139212B,47B
10,32,8,0,1,3.091016086989144,-19.5,406199,9.770760374251389e-8,9.9999810000361e-8,0.97707789386961,1,-10234617,1B,-10234617B
13,4,0,0,1,2.0000011675086817,-28.5,73561,9.75537994570936e-8,1.0099108612277446e-7,0.9659644549074147,13691,10264445,13.7 kB,10.3 MB
14,8,3,0,1,14.968873517028587,-8.0,23201907,9.709388298827785e-8,9.987404883701165e-8,0.9721632808411437,64693,-10234617,64.7 kB,-10234617B
12,18,6,0,1,3.102554511170479,-25.0,1169901,9.703154311106608e-8,9.9999850000225e-8,0.9703168865838075,-21,-10305948,-21B,-10305948B
15,4,2,0,1,4.916417213236146,-25.5,3902484,9.682492668658613e-8,9.887766923976026e-8,0.9792395738192756,188707,-10139212,188.7 kB,-10139212B
14,8,4,0,1,14.368863425526428,-5.5,21431848,9.651947864424494e-8,1.000809254363078e-7,0.964414329938132,-10362835,-2232,-10362835B,-2232B
11,12,3,0,1,3.092006289998054,-22.5,452072,9.625505278867733e-8,1.0000861074138484e-7,0.9624676522863221,240,10389305,240B,10.4 MB
15,4,3,0,1,5.583488899003791,-19.5,5498736,9.37392317057578e-8,1.0099396237894107e-7,0.9281666893515607,-10703941,-36049,-10703941B,-36049B
13,4,1,0,1,4.11378396559437,-30.0,1805682,9.362099319703053e-8,8.354429338493715e-7,0.1120615058238199,10674669,-6696,10.7 MB,-6696B
16,2,4,0,1,11.118863244016138,-12.5,18274212,8.639222276476538e-8,9.088005886119652e-8,0.9506180326832147,1340499,-10234617,1.3 MB,-10234617B
13,12,4,0,1,4.115469021054468,-25.5,2898435,8.547842874919928e-8,9.998577202464089e-8,0.8549059232961029,2505,-11696353,2.5 kB,-11696353B
13,12,5,0,1,4.115105092413977,-19.0,2534462,8.175762543152697e-8,1.0000504025402881e-7,0.8175350484720522,-948,-12232223,-948B,-12232223B
16,0,2,0,1,11.118863323969018,-9.5,18583118,7.99528789712495e-8,8.99612833624793e-8,0.8887476476863595,-1635090,10872277,-1635090B,10.9 MB
12,8,2,0,1,4.115424955785059,-29.0,2785346,7.906040190987794e-8,9.126959196864099e-7,0.08662293783130097,12648042,-515,12.6 MB,-515B
12,8,0,0,1,8.916926298179797,-9.0,11694652,7.534958912810918e-8,9.05554061894439e-8,0.8320827248069119,10627153,9975,10.6 MB,10.0 kB
17,0,3,0,1,7.916926222719681,-17.0,10617945,4.6132647137886743e-8,4.762575604697081e-8,0.9686491295253876,-10700653,10975970,-10700653B,11.0 MB
58,0,0,0,1,18.77983772242861,1.0,29038792,3.612572379435867e-8,0.7142857142857143,5.057601331210214e-8,-1264242650622530585112564199,-1264242650622530585100453715,-1264242650622530585112564199B,-1264242650622530585100453715B
27,0,1,0,1,17.484330311052616,1.0,28574262,2.8324388113908452e-8,1.0,2.8324388113908452e-8,-1000009872763,-999974567499,-1000009872763B,-999974567499B
